sentence,fiscal_stance,Hirose
Addressing the fiscal situation in United States and Japan requires balancing short-run growth fragility with long-term sustainability concerns,0,
"For Europe as a whole, further policy measures are needed to address weaknesses in national budgetary institutions and procedures that have undermined past efforts to enforce the Stability and Growth Pact, such as a lack of transparency and medium-term orientation, as well as an optimistic bias in some national official forecasts",0,
But authorities should implement credible medium-term fiscal adjustment plans that include entitlement and revenue-raising tax reforms,-1,
"The weak growth outlook in Greece and Portugal imply, notably in the presence of financing constraints, the need for fiscal adjustment measures, as agreed in the EC-IMF programs for these economies",0,
They need to be legislated and implemented expeditiously,0,
"In addition to structural policies and temporary financial assistance, front-loaded fiscal adjustment is needed to restore market confidence and ease the pressure on sovereign and bank spreads",-1,
Fiscal Policy: Resolve the Sovereign Crisis and Adopt Credible Mediumterm Frameworks A long-term solution to problems in peripheral euro area economies requires a range of measures,-1,
"For the United States, it is critical to immediately raise the debt ceiling.",1,
Managing high public debt in a low-growth and low-inflation environment remains a key challenge in many economies,0,
Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth,0,
"In the United States, the priority remains to agree on a medium-term fiscal consolidation plan, including higher tax revenue",-1,
"Fiscal policy should be growth friendly, including through increased infrastructure investment",1,
"In advanced economies, accommodative monetary policy remains essential",0,
Growth-friendly fiscal rebalancing could include lower marginal taxes on labor and capital financed by cuts to unproductive spending or base-broadening measures,0,
"Notably, raising actual and potential growth remains a key objective",0,
"In the euro area, countries should adhere to their commitments under the Stability and Growth Pact (SGP), but those with fiscal space, notably Germany, could do more to encourage growth, especially by undertaking much-needed public infrastructure investment and supporting structural reforms",1,
Fiscal consolidation should remain growth friendly and be anchored in credible medium-term plans,-1,
Fiscal policy should be growth friendly,1,
Structural reforms are needed to raise potential output in both advanced and emerging economies,0,
"In Japan, a credible medium-term strategy for fiscal adjustment with specific measures is urgently needed, given high public debt ratios.",-1,
"In many emerging economies, macroeconomic policy space to support growth is more limited, with inflation still above target in some economies, and fiscal positions weaker than desirable in others",0,
"At the same time, past fiscal consolidation has been heavily focused on tax increases and wage and public investment cuts, exacerbating the trend decline in public capital stocks",0,
"Specifically: In the United States, the December 2013 budget agreement was an encouraging example of bipartisanship and provided partial relief from the sequester",0,
"However, much more is needed to put the debt ratio on a downward path",-1,
Further progress is also needed in improving national fiscal governance in the context of recent fiscal institutions reforms in the euro area.,0,
"In the euro area, the overall fiscal stance planned for 2014 is neutral, although a number of countries are still tightening, even if at a slower pace",0,
"However, if low growth persists and monetary policy options are depleted, the flexibility in the current fiscal framework may need to be used to respond in these circumstances",1,
"In Japan, the decision to implement the first phase of the consumption tax increase sent a strong signal about the government’s resolve to tackle the country’s fiscal imbalances",0,
"However, it remains essential to reduce uncertainty surrounding the conduct of fiscal policy, by raising the debt limit in a more durable manner and adopting a balanced and comprehensive medium-term fiscal plan (including entitlement and tax reforms) that puts public debt on a downward path",-1,
"The implementation of the second stage of consumption tax rate increase in 2015 is of great importance, and should go ahead",-1,
"While debt ratios should start declining from 2015 onward, fiscal deficits remain high relative to pre-crisis levels and there is still some way to go to rebuild policy buffers and bring debt ratios to prudent levels",0,
"Fiscal consolidation should continue at a gradual pace, within the framework of concrete medium-term plans (notably in Japan and the United States)",-1,
the recent fiscal stimulus package increased the urgency of a concrete medium-term consolidation plan,-1,
"Consolidation should rely on a more balanced distribution of spending cuts, where revenue ratios are already high",-1,
"Going forward, the design of fiscal policy should be careful to support the long-run growth potential of the economies, including by enhancing infrastructure investment, which will also boost demand",1,
"Fiscal consolidation should continue at a gradual pace, while preserving the long-term growth potential of the economy",-1,
This is broadly appropriate,0,
"If, however, growth slows considerably, fiscal measures could be considered in the context of a credible consolidation strategy",-1,
Swift implementation—and an expansion—of the EU scheme to provide public and private investment would raise growth in the short and medium-term and have positive spillovers in the region,0,
"An early agreement on credible medium-term deficit reduction would provide the space to fund investments in infrastructure, to raise productivity and innovation, and enhance workers’ skills",1,
"Temporary costs related to refugee expenditures should generally be accommodated, and the compatibility with current fiscal targets assessed on a case-by-case basis",0,
"Where necessary, fiscal consolidation should remain growth-friendly and support policies that foster innovation and productivity, while protecting the most vulnerable",0,
"In the United States, while the recent bipartisan fiscal agreements was an important positive step, further fiscal efforts are needed to stabilize the debt-to-GDP ratio in the medium-term as interest rates gradually increase and the demographic transition intensifies",-1,
"To avoid over-reliance on monetary policy, near-term fiscal policy should support the recovery where appropriate and provided there is fiscal space, focusing on investment",1,
"In Japan, a commitment to fiscal consolidation centered on a pre-announced path of gradual consumption tax hikes and a strengthening of fiscal institutions would create near-term policy space to maintain growth momentum.",0,
"In the euro area, countries with fiscal space should do more to support growth—for example, through infrastructure investment in Germany",1,
"Where public debt is high, commitments to credible medium-term consolidation plans can create policy space",-1,
"But beyond that, fiscal consolidation will need to gain rapid momentum, notably in advanced economies",-1,
"Ensuring fiscal sustainability depends on ensuring growth, and so the provision of fiscal support will need to be maintained until there are clear signs of a self-sustaining recovery",1,
"Hence, plans for fiscal consolidation should generally take priority, all else given",-1,
"In sequencing an exit from crisis-related policies, fiscal policy should generally take priority",-1,
Winding down fiscal stimulus measures will provide only about 2 percent of GDP,0,
"in the current juncture, inflationary pressures appear well contained",0,
These strategies should include: Clear timeframes to reduce gross debt-to-GDP ratios to sustainable levels,-1,
Fiscal measures that seek to increase economies’ medium-run growth potentials,0,
Strong fiscal policy frameworks and institutions with comprehensive coverage of the public sector,0,
"In many G-20 countries, restoring fiscal sustainability is a top priority and policy challenge, notably in light of the surge in government debt levels",-1,
Some major emerging economies will also need to return to medium-term fiscal considerations as the recovery is established,-1,
additional fiscal measures will therefore be needed,0,
"Against this backdrop, exiting from fiscal stimulus should in general take priority over other policies, particularly in advanced economies",-1,
"Entitlement reforms and improvements to tax and expenditure policies could help attain fiscal sustainability, while promoting medium-run growth",-1,
"In many advanced G-20 economies, authorities will need to urgently devise and communicate credible medium-term fiscal policy strategies",-1,
"Furthermore, fiscal policy adjustment typically has a long lead time relative to monetary policy",0,
"Formally adopting or strengthening fiscal rules with explicit fiscal targets and monitoring by independent fiscal agencies could help shore up the necessary broad consensus, anchoring expectations and guiding fiscal policy implementation over the medium-term.",-1,
"This is particularly important for the United States, given its systemically important role in global financial markets, but also for other advanced economies that can affect the sovereign risk premiums of other countries",0,
Accommodative monetary policy does not have such automatic consequences and can be reversed quickly,0,
"In many advanced G-20 economies, substantial consolidation will be needed to ensure fiscal sustainability, foster medium-and-long-term growth and restore fiscal space for future needs",-1,
Maintaining an expansionary fiscal stance has a direct impact on the build-up of debt,0,
"To return debt ratios in advanced economies to relatively more prudent levels—for example, 60 percent of advanced-economy GDP by 2030 (the median level of debt in advanced economies prior to the crisis)—requires adjustment of the order of 8.percentage points of GDP in the next ten years",0,
"Large negative growth surprises in euro area countries should not trigger additional consolidation efforts, which would be self-defeating",1,
"The pace of fiscal withdrawal in 2014–15 is broadly appropriate, but a concrete post-2015 fiscal consolidation plan remains urgently needed, which would allow more near-term flexibility to respond to downside risks",-1,
"Moreover, if deflation risks materialize and monetary policy options are depleted, the escape clauses in the fiscal framework may need to be used to respond in these circumstances",0,
The pace and composition of fiscal adjustment should be attuned to supporting both the recovery and long-term growth,1,
This strikes the right balance between demand support and debt reduction,0,
"The United States should also consider some changes to budget procedures to lessen fiscal policy uncertainty, including:  reaching bipartisan agreement on a clear and simple medium-term fiscal objective,  an automatic process that raises the debt ceiling once agreement is reached on the broad budget parameters, and  a budget cycle where annual spending levels are agreed for a two-year period",0,
"In the euro area, the overall fiscal stance is broadly neutral, although a number of countries are still tightening, even if at a slower pace",0,
"Specifically: In the United States, reaching an agreement on a credible, medium-term consolidation plan that puts debt on a downward trajectory should be a high priority",-1,
"Plans to lower the corporate tax rate would likely have growth benefits, but would require offsetting fiscal measures to prevent a further rise in fiscal risks.",0,
"In the absence of such a comprehensive agreement, efforts should still focus on identifying more modest opportunities to relax the near term budget envelope, paid for with future fiscal savings",0,
"At the same time, the design of fiscal policy should better support the long-run growth potential of the economy, including by enhancing infrastructure investment, provided that infrastructure needs have been identified, there is slack in the economy, monetary policy is accommodative, investment processes are relatively efficient, and debt-to-GDP ratios are not already high",1,
"In particular, frontloading infrastructure spending would be a good candidate, given the urgent need to upgrade the quality of United States infrastructure",1,
"This should include steps to contain health care costs, reform social security, and increase revenues",-1,
"Nevertheless, Germany, which has completed its fiscal consolidation, could afford to finance much-needed public investment in infrastructure, without violating fiscal rules",1,
"Fiscal consolidation should continue to proceed gradually, anchored in credible medium-term plans, which are still lacking in some countries (notably, in Japan and the United States)",-1,
Concerns that it could harm low-income households should be addressed through targeted subsidies instead of reducing tax rates on essential items,0,
"In Japan, the second stage of the consumption tax increase should proceed with a uniform rate (from 8 to 10 percent in October 2015)",-1,
"Reforms are particularly needed in the areas of labor and product and services markets, such as those that facilitate greater competition (and lower markups), lower hiring costs, reduce long-term unemployment (by facilitating re-entry), encourage job search, matching, and mobility, and eliminate dual labor markets.",0,
Plans should build on constructive ideas from the Fiscal Commission and others,0,
"It has thus become even more important to articulate a credible fiscal consolidation plan, including entitlement reforms, caps on discretionary spending, higher revenues through reforms of the tax system, and the establishment or strengthening of fiscal institutions",-1,
"In the near term, a solidifying of the recovery and diminishing deflationary risks in many large advanced economies creates room for current fiscal consolidation plans to be accelerated",0,
"The recently announced tax cuts in the United States are projected to only have a modest impact on growth outcomes, but have a large budgetary cost",0,
"In the advanced economies, the most urgent tasks are to alleviate financial stresses in the euro area, develop credible fiscal consolidation plans, boost job creation, and accelerate financial reforms",-1,
"In key surplus economies, overheating pressures can be alleviated by permitting currency appreciation, facilitating a healthy rebalancing from external to internal demand",0,
"Successful fiscal adjustment will require medium-term consolidation plans to be accompanied by structural reforms that increase competitiveness, particularly in the euro area and Japan",-1,
Greater commitment is needed to ensure that fiscal policies will restore medium-term debt sustainability in advanced economies,-1,
Cooperative and well-timed policy initiatives—to reduce vulnerabilities and rebalance growth— are needed to sustain the global recovery,0,
The key policy challenge in emerging economies is to keep overheating pressures in check and respond appropriately to capital inflows,0,
"Given recent stimulus measures, the United States and Japan need to strengthen their adjustment credentials by specifying the measures they intend to adopt to honor their commitments to reduce deficits and debt",-1,
These policies would raise potential growth and help to support fiscal solvency in the long term,0,
Those advanced economies that came under renewed market pressure should underscore their commitment to their deficit targets and set up contingency plans to ensure that adjustment goals are met,-1,
"The vulnerability of some sovereigns emphasizes the urgency of formulating credible, medium-term fiscal consolidation plans—not just for countries in the euro periphery, but also for other advanced economies",0,
"Given market pressures, some economies in the euro area will need to tighten fiscal policies more aggressively than expected, including through upfront measures, even if politically difficult",-1,
"In most advanced G-20 economies, fiscal tightening will be required in 2011",-1,
The challenge for fiscal policy is to reduce high public debt to prudent levels while also encouraging growth,0,
"Fiscal consolidation needs to be anchored by a credible medium-term plan, with adjustment in the near-term depending on country circumstances, particularly the pace of recovery and the risk of a loss of fiscal credibility",-1,
Greater global policy coordination— especially on crisis resolution mechanisms—is needed to resolve the crisis on a durable basis,0,
Fiscal measures must also be complemented by measures to reduce the fragility of banking systems and by growth-enhancing structural reforms,0,
Countries that are unable to credibly commit to medium-term consolidation may find that adverse market reaction compels them to undertake significantly more front-loaded adjustment.,0,
"From a near-term perspective, most G-20 advanced economies do not need to tighten before 2011, since this could undermine the fledgling recovery, but they should not add further stimulus",0,
"For example, gradual increases in the age of eligibility for pensions would have immediate benefits for fiscal sustainability while allowing households time to adjust to longer expected working lives",0,
"It is of overarching importance that G-20 countries commit now to credible medium-term fiscal adjustment plans, which could include legislation creating multi-year targets",-1,
The recent turmoil in euro area debt markets highlights growing market sensitivity to sovereign risks,0,
"Medium-term reforms should also include strengthening fiscal institutions (for example, fiscal rules and medium-term fiscal frameworks) to support a durable fiscal effort",-1,
"In particular, authorities need to avoid both a loss of credibility arising from appearing unable or unwilling to address market concerns about the course of fiscal policy and an excessive tightening of fiscal policy in the near term, as either would have severe implications for growth",0,
The challenge for fiscal policy is to reduce public debt while also encouraging growth,0,
"The important consolidation steps taken by a number of these countries will need to be complemented with reform to the euro area fiscal framework, including deficit rules that have credible enforcement mechanisms",-1,
Countries currently facing sovereign funding pressures have already begun to embark on immediate fiscal consolidation,0,
"In elaborating medium-term fiscal adjustment, legislating reforms to pension entitlements and public health care systems, making permanent reductions in nonentitlement spending, and strengthening fiscal institutions would be imperative",-1,
"Although specifics will vary by country, current fiscal consolidation plans for this group of countries for 2011—which envisage, on average, an adjustment of about 1¼ percentage points of GDP in the cyclically adjusted balance—are broadly appropriate",0,
Short-term adjustment must be calibrated appropriately,-1,
Policy makers must aim to nurture short-term recovery and have credible medium-term adjustment plans to help anchor expectations and gain flexibility,1,
"In Japan, the recent fiscal stimulus makes developing a credible fiscal plan that stabilizes and reduces debt even more urgent",-1,
Fiscal tightening must continue at a pace that preserves the recovery,-1,
It will create greater scope to pursue supportive monetary policy without triggering concern about central bank independence or a resurgence of inflation.,0,
Comprehensive and ambitious consolidation plans and entitlement reform are instrumental given tradeoffs facing fiscal policy,-1,
"However, some advanced economies where private demand has been chronically disappointing should consider smoothing the pace of consolidation, if they have the room for maneuver",1,
"In the United States, agreement on a credible fiscal roadmap could help create some short-term policy space, mitigate risks of excessive near-term consolidation, and ease the burden currently placed on monetary policy",1,
"More generally, if growth surprises on the upside policymakers should reduce headline deficits faster, aiming for fiscal balances in cyclically-adjusted or structural terms",-1,
"In the United Kingdom, for example, greater flexibility in the pace of near-term fiscal consolidation should be considered given the weak recovery owing to lackluster demand",1,
"Progress on medium-term fiscal reform would also help quell concerns about political pressure on central banks to keep interest rates too low longer than warranted, given the massive purchases by various central banks of government paper since 2008",0,
The pace and composition of fiscal adjustment should be calibrated carefully to avoid an excessive drag on growth and be anchored by credible and concrete medium-term plans,1,
"In the United States, while private demand has gained momentum, this year’s large fiscal consolidation is excessive in light of the still nascent recovery",0,
"In the near term, a more gradual pace of fiscal adjustment would be preferable, but conditional on having a credible and specific medium-term consolidation plan in place",1,
"Consolidation should be based on an efficient and “growth-friendly” mix of expenditure and revenue measures, supported by appropriate structural reforms that enhance potential growth",1,
"Similarly, in Japan, despite an expansionary fiscal stance this year, substantial consolidation is in the pipeline for the next two years as a result of the two-step increase in the consumption tax rate to 10 percent and the waning of stimulus and reconstruction spending",0,
"In Japan, the implementation of the planned consumption tax increase next year is critical to maintain confidence in the ability of the government to address the fiscal problem",-1,
Financial sector reforms also need to be urgently completed,0,
Supporting growth and creating jobs is the main challenge in the major advanced economies,0,
Financial sector support measures also burdened fiscal accounts in some countries,0,
"In the United Kingdom, it is important that fiscal policy supports the nascent recovery by pursuing fiscal measures that would alleviate supply-side constraints and also provide support for private demand—within the context of its medium-term fiscal framework.",1,
"Broadly speaking, monetary policy accommodation should continue to play its supportive role, given low inflation and still large output gaps, and fiscal adjustment should be measured, while being anchored by a credible medium-term roadmap for sustainability",0,
"In the euro area, the extension of the EDP deadlines and the assessment of adjustment in structural terms are welcome, but the extra space should be used to act decisively on fiscal and structural reforms",0,
"Despite sizable consolidation efforts, fiscal imbalances remain large in advanced economies due to weak growth and unfavorable initial fiscal positions with respect to sustainability",0,
"The growth disappointments in turn partly reflected the negative effect of fiscal adjustment on shortterm growth and the fact that in some countries (France, Spain, UK), private demand has not been picking up from public demand",0,
"With such a plan in place, some fiscal space would be created to smooth the fiscal adjustment in 2014–15 should growth disappoint",1,
The debt ceiling should be raised expeditiously and a multi-year consolidation plan that tackles entitlement and tax reforms should also be adopted to restore long-run fiscal sustainability,-1,
"An ambitious and concrete consolidation plan beyond 2015, based equally on revenue and spending, is also urgently needed",-1,
"In advanced economies, macroeconomic policies should support growth",0,
"Spain needs a credible and detailed medium-term plan, while France needs to rebalance adjustment toward expenditure containment",-1,
"Specifically: In the United States, the budget sequester should be replaced by a more balanced and gradual pace of fiscal consolidation in the short term, with more efficient and targeted spending cuts",-1,
"At the same time, the design of fiscal policy should support growth, including by enhancing infrastructure investment (see Annex) where needs have been identified, there is slack in the economy, and investment processes are relatively efficient (for example, Germany and the United States)",1,
In response to negative growth surprises in the euro area flexibility within the fiscal governance framework could and should be used where possible to avoid triggering additional consolidation efforts,1,
"Fiscal policy should be growth friendly, with the pace and composition of fiscal adjustment—where needed—attuned to supporting the recovery",1,
"When there is economic slack and monetary accommodation, short-run demand effects are stronger, and the boost in output can lead to a decline in the public-debt-to-GDP ratio",0,
"Fiscal consolidation should proceed gradually, anchored in credible medium-term plans, which are lacking in some countries (notably Japan and the United States)",-1,
"Provided that there is space, a supportive fiscal stance can help offset short-term adverse effects of structural reforms on aggregate demand, bringing forward the growth benefits",0,
"Finally, the pace of fiscal withdrawal in 2014–15 is broadly appropriate in Japan, but a post-2015 consolidation plan remains needed.",-1,
"In the euro area, flexibility within the fiscal governance framework should be used to support key structural reforms and public investment",0,
"In many emerging market economies, macroeconomic policy space to support growth remains limited, but lower oil prices will alleviate inflationary pressures, allowing for a more gradual tightening of monetary policy",0,
"Advanced economies should maintain supportive policies, given still substantial output gaps and below-target inflation",0,
"For oil exporters, the need to adjust fiscal stance would depend on the scope of savings from past higher prices of oil and exchange rate regimes",0,
"Finally, credible medium-term consolidation plans remain needed in Japan and the United States.",-1,
Fiscal policy should be growth friendly,1,
"Fiscal policy should be growth friendly, including by increasing infrastructure investment",1,
"For countries with less policy space, exchange rate flexibility will be a critical buffer to the shock",0,
There is an urgent need for structural reforms to raise potential output in both advanced and emerging economies,0,
"The pace and composition of fiscal consolidation should be designed to support both the recovery and long-term growth, including by enhancing infrastructure investment in economies with identified needs, output gaps, and relatively efficient investment processes (for example, Germany, the United States)",1,
"Where there is space, supportive fiscal stance can bring forward the growth benefits of structural reform by helping offset short-term adverse effects",0,
Lower oil prices offer an opportunity to reform energy subsidies and taxes in both oil exporters and importers,0,
"In emerging economies as a group, no substantial consolidation is envisaged for this year or next",0,
Fiscal consolidation should be gradual and sustained,-1,
The amount of planned fiscal consolidation in advanced economies appears relatively sizable over the near term—consistent with high debt and the slight increase in economic growth projected in the WEO— although with significant differences across countries,0,
"At the moment, the United States lacks agreement on such a plan, and Japan’s plan needs to be strengthened further despite the recent welcome approval of a timetable for doubling the consumption tax rate",-1,
"It is important to move early to reduce the growth of aging-related expenditures—and while some measures have been enacted in Europe to reduce retirement costs, more can be done in all advanced economies, particularly to lower health-related spending",-1,
More robust fiscal frameworks would support the credibility of adjustment plans.,-1,
Fiscal adjustment must be anchored by concrete and ambitious medium-term consolidation plans,-1,
"On average, in advanced economies, the ratio of cyclically-adjusted general government balances to potential GDP is projected to improve by about ¾ percent of potential GDP in 2012 and 1 percent in 2013",0,
Adjustments would be required on both expenditure and revenue sides of the ledger,-1,
"Moreover, if contrary to the expectations a resolution is not found, confidence in United States policymakers will erode— which could have large domestic and international ramifications",0,
"In case of large negative shocks or growth disappointments, the pace of consolidation should be smoothed in countries that can afford it",1,
United States authorities should act early to avoid the fiscal cliff and raise the debt ceiling,0,
"Importantly, a last minute deal that relies on suboptimal fixes or largely ―kicks the can down the road‖ may ultimately prove harmful",0,
"While markets view a major disruption associated with these issues as a tail risk, the uncertainty about when and how they will be resolved may be weighing on demand",0,
It is essential to calibrate the pace of adjustment with both the state of the economy and funding pressures in mind,1,
"Considerable adjustment has already occurred, but many advanced economies still have a long way to go",0,
"Where financial conditions permit, automatic stabilizers should be allowed to operate, and fiscal targets should be specified in cyclically-adjusted or structural terms",1,
"This is advisable considering both the relative scales of policy adjustment required and managing risks to both economic and financial recovery: For most countries, the risks presented by keeping stimulus in place too long suggest that adjustment is a key priority",-1,
"This suggests that the timing of exits will be country specific, although coordination on some specific fronts is desirable",0,
"Current differences in monetary policy conditions could give rise to larger capital inflows to emerging market countries, accentuating the need for policies to encourage rebalancing the global sources of demand",0,
"There is also a need to ensure adequate recovery of the value of assets acquired during the crisis, cover any central bank losses, and manage contingent liabilities so as to minimize their realization.2",0,
"The general government balance should be targeted, as deficits and debts of subnational government institutions have the same macroeconomic and financial solvency effects as those of central governments",0,
High debt ratios would impede fiscal flexibility and raise interest rates,0,
"For most countries, fiscal consolidation should be a top priority, with monetary policy able to adjust more flexibly to achieve a desired level of overall stimulus",-1,
"Monetary policy can respond more quickly to achieve the desired level of overall stimulus, when fiscal retrenchment begins",0,
Commentary: Achieving fiscal sustainability will be a complex process and will take longer than normalizing monetary policy,0,
The appropriate debt ratio will need to take country-specific characteristics into account,0,
This suggests that fiscal policy changes that have long-term effects but that do not affect the economic recovery in the short term (such as entitlement reforms and strengthening fiscal frameworks and institutions) should be implemented soon to enhance credibility,-1,
"This includes the composition of the debt (currency and maturity), depth of domestic financial markets, and diversification of the investor base",0,
The strategy for fiscal consolidation should be outlined and communicated now,-1,
The principles laid out below are intended to establish common ground for the design and implementation of policies during the exit from extraordinary support measures taken during the crisis,0,
This is especially true for those economies facing rising pressure on public finances from key entitlement programs and demographic change,0,
"Exit strategies should pave the way for strong, stable and balanced economic growth",0,
monetary policy is more easily able to adjust to achieve the desired level of overall stimulus,0,
"Actions to bolster fiscal frameworks and institutions could include reforms of budgetary processes, more frequent and comprehensive reporting requirements, medium-term expenditure frameworks, and fiscal rules",-1,
"In many advanced economies, monetary policy can afford to remain accommodative for an extended period, given subdued price pressures",0,
"The achievement of sustained economic growth requires that the role of the public sector in the economy, including in the financial sector, be restored to one that supports private and market based financial intermediation",0,
"For many advanced economies, targeting a gradual return to a gross debt ratio below 60 percent (the median level before the crisis) would be appropriate, with reforms of entitlements, other expenditures, and revenues a prerequisite for attaining that target and maintaining it over time",-1,
Deficit-reducing and debt management measures should commence as soon as private demand begins recovering,-1,
Fiscal reforms that have long-term effects but that do not affect the economic recovery in the short-term (such as entitlement reforms) should thus be implemented soon to enhance credibility,-1,
Targets for emerging economies will need to take into account generally lower market tolerance for high public debt,0,
Commentary: A high degree of transparency in fiscal accounts is more important than ever,0,
"Targeting an appropriate debt ratio of GDP, taking into account longer-term spending pressures, would help build public awareness and address market concerns regarding fiscal sustainability: Stabilizing debt ratios at their likely post-crisis levels will not be sufficient",0,
"The scale of fiscal adjustment required to ensure fiscal sustainability will be large, particularly in advanced economies",-1,
"In a number of emerging economies, by contrast, monetary policy may have to tighten sooner—and might therefore be more synchronous with or even lead fiscal consolidation—if there are signs of rising inflation or incipient financial vulnerabilities, including credit booms",0,
Market based principles and pricing also can play a role in reducing the use of support measures prior to their full removal,0,
Maintaining fiscal stimulus longer than needed has obvious and immediate consequences for debt accumulation,0,
The challenges of placing fiscal policy on a sustainable path—both political and economic—are greater than for normalizing monetary policy,0,
"Requirements include a comprehensive assessment of fiscal risks, including those arising from possible additional support to the financial sector, volatility in interest rates, guarantees, and public-private partnerships",0,
"The scale of fiscal adjustment required is large to ensure debt sustainability and to restore room for policy maneuver, particularly in advanced economies",-1,
"High debt levels require better debt structures (for example, longer, well spread-out maturities)",0,
Measures to strengthen the finances and operations of subnational governments and public enterprises may also be needed in some countries,0,
"Formally adopting or strengthening fiscal rules with explicit fiscal targets and monitoring by independent fiscal agencies could help shore up the necessary broad consensus, anchoring expectations and guiding fiscal policy implementation over the medium-term.",-1,
"In the context of high unemployment, there may be merit in considering new policy initiatives aimed at boosting job creation in some countries",0,
"To achieve fiscal sustainability, authorities need a credible medium-term fiscal policy strategy that would entail: Clear timeframes to bring the gross debt to GDP ratio to sustainable levels that take into account longer-term spending pressures",-1,
A failure to implement these measures would threaten fiscal sustainability and reduce growth prospects,0,
"Moreover, they should start implementing immediately elements of these medium-term plans that do not impact negatively on demand",-1,
Maintaining an expansionary fiscal stance has a clear and direct impact on the build-up of debt,0,
Experience in past large consolidations indicates that this is the key element in a successful reduction of the debt ratio,0,
"the most important risk from this policy stance in the current low inflationary environment is the potential for liquidity spillovers, particularly to domestic asset markets and emerging economies",0,
"In the major advanced G-20 economies there will be a need for continued policy stimulus until private demand gathers sustainable momentum, as the recovery will remain sluggish and fragile, notwithstanding the recent uptick in growth prospects",0,
"Achieving fiscal sustainability will be a difficult and prolonged process, making it imperative for consolidation to begin as soon as there is clear evidence of self-sustaining recovery",-1,
Strong fiscal policy frameworks and institutions with comprehensive coverage of the public sector,0,
"Also, a tightening of the fiscal stance may help monetary and debt management, while a monetary tightening will contribute to a worsening of the fiscal position",-1,
"Maintaining an accommodative monetary policy stance, which can be reversed quickly, has few obvious direct downsides",0,
"While provision of fiscal support will need to be maintained until the recovery gains a solid footing, advanced G-20 governments should lay out credible medium-term plans to reduce public debt ratios",-1,
"Hence, on balance fiscal consolidation should generally take priority, all else given",-1,
"This includes strengthening fiscal institutions to increase the likelihood that fiscal adjustment will take place, and undertaking those reforms of entitlement spending that do not depress consumption—such as increases in the retirement age—or that can be phased in gradually",-1,
"Winding down fiscal stimulus measures could provide only about 1½ percent of GDP—thus additional fiscal measures will be needed (for example, reform of pension and healthcare entitlements)",-1,
"Stabilizing debt ratios at their likely post-crisis levels will not be sufficient, as high debt ratios would impede fiscal flexibility, raise economy-wide interest rates, and constrain growth",0,
"However, such measures should be cast within a framework that ensures sound medium-term fiscal balances",0,
"In most advanced G-20 economies, ensuring fiscal sustainability is a key priority and policy challenge, notably in light of the surge in government debt levels",-1,
"Given a path for fiscal policies, monetary policy can be set to achieve a desired level of overall stimulus, tightening as needed to counter inflationary risks and maintain price stability",0,
"Central banks should maintain low interest rates for some time, given that underlying inflation is expected to remain subdued and unemployment high through 2010",0,
"The appropriate debt target will depend on economy-specific characteristics, including debt composition, depth of domestic financial markets, vulnerability to shocks, and diversification of the investor base",0,
"Fiscal policies need to remain supportive of economic activity in the near term, and the fiscal stimulus planned for 2010 should be implemented fully",1,
"The fiscal impulse should start to be withdrawn in 2011, except in those economies where markets are rapidly losing confidence in fiscal sustainability and where tightening should start earlier",-1,
Sustained adjustment in primary structural balances,0,
"In advanced economies, the primary balance adjustment required over the next ten years to return debt ratios to about 60 percent of GDP (80 percent of GDP in Japan) by 2030 is of the order of 8 percentage points of GDP (from a deficit of 3½ percent of GDP in 2010 to a surplus of 4½ percent of GDP in 2020 and keeping it at that level for the following decade)",0,
"Short-term demand support still has an important part to play in advanced economies, but needs greater emphasis on growth-friendly fiscal policies",1,
"For the euro area, the use of centralized investment funds to support infrastructure investment in countries without fiscal space would be appropriate",0,
A coordinated use of fiscal space would be beneficial should the global outlook weaken materially,0,
"In the United States, achieving a sustained downward medium-term path for public debt would require a comprehensive reform of the tax system, pension reform, and further healthcare cost containment",0,
"In Japan, the pre-announcement of a gradual path of consumption tax hikes is needed",-1,
"In most countries, it will be important to adjust expenditure priorities to finance reforms that increase potential output (for example, Germany)",0,
"Strong fiscal frameworks that ensure sustainability over the longer term, coupled with fiscal reforms, help increase or safeguard policy space in the short run (for example, United States, Japan)",0,
"Where monetary policy space is narrowing and there is fiscal space, fiscal policy can help support demand and close output gaps—including through measures that will strengthen growth also in the medium and long term (for example, Canada, Korea) or, where necessary, facilitate balance sheet repair",1,
"In a majority of advanced countries, output gaps remain negative, weak labor markets threaten to permanently scar especially the young in the workforce, and inflation is low and far off target",0,
"Where monetary policy is becoming overburdened, domestic policy coordination can help to make macroeconomic support effective",0,
There is also a strong case for expanding centralized fiscal support.,0,
Advanced G-20 economies must articulate credible medium-term fiscal consolidation plans with specific measures embedded in a realistic macroeconomic framework,-1,
"Credible medium-term fiscal plans, which would create space for providing further support for fledgling recovery, and well calibrated and appropriately paced fiscal adjustment in the near term to anchor investor confidence",-1,
This need to be supported by rapid implementation of structural reforms to raise growth and enhance debt sustainability,0,
This would create more policy space for nearterm support to growth and employment if needed,0,
"In the event of a further significant slowdown in growth, a number of these economies have scope to slow their current pace of consolidation, if offset by a commitment of additional tightening later",0,
"In most other advanced G-20 economies (for example, Australia, Canada, Germany, Korea, and the United Kingdom), current plans are appropriate, but near-term tightening should also slow if growth threatens to be substantially lower than projected, with compensating stronger medium-term adjustment",1,
