,Hirose_san_score,model_score,sentence,sentence_root
207,0.0,0.0,"In some economies Brazil , India , Turkey , maintaining the course of fiscal consolidation is critical , given large fiscal deficits and high inflation in some cases , and high external borrowing",economy Brazil India Turkey maintain course fiscal consolidation be critical give large fiscal deficit high inflation case high external borrowing
208,0.0,0.0,"Following a long period of low rates , excessive may have built in some sectors credit booms in a number of smaller advanced economies and the underpricing of risks in certain segments of United States financial markets",follow long period low rate excessive may have build sector credit boom number smaller advanced economy underpricing risk certain segment United States financial market
209,1.0,0.0,"If downside risks materialize , the Federal Reserve , Bank of England , and Bank of Japan should stand ready to expand unconventional support",downside risk materialize Federal Reserve Bank England Bank Japan should stand ready expand unconventional support
210,0.0,0.0,"Brazil continues to face a considerable inflation challenge , with inflation exceeding the upper limit of the inflation target band ,",Brazil continue face considerable inflation challenge inflation exceed upper limit inflation target band
211,0.0,0.0,"Finally , communication should focus on the overarching goal of achieving the inflation target in a stable manner through a more transparent presentation of the BoJ 's forecast and underlying assumptions",communication should focus overarching goal achieve inflation target stable manner transparent presentation boj forecast underlie assumption
212,0.0,0.0,"where current account deficits are widening , with monetary policy remaining the first line of defense",current account deficit be widen monetary policy remain first line defense
213,0.0,0.0,"However , if the economy is at risk of overheating and there are inflationary pressures , reducing",economy be risk overheating be inflationary pressure reduce
214,0.0,0.0,Supporting growth and creating jobs is the main challenge in the major advanced economies,support growth create job be main challenge major advanced economy
215,1.0,0.0,Interest rates will need to be raised,interest rate will need be raise
216,0.0,0.0,Advanced economies should strengthen regulation and supervision of financial activities outside the banking system,Advanced economy should strengthen regulation supervision financial activity banking system
217,0.0,0.0,while the pace of normalization in the United States,pace normalization United States
218,0.0,1.0,Countries should continue to rebuild monetary and fiscal policy space,country should continue rebuild monetary fiscal policy space
219,0.0,0.0,"Advanced economies should maintain supportive policies , given still substantial output gaps and inflation",Advanced economy should maintain supportive policy give substantial output gap inflation
220,0.0,0.0,Japan 's newly announced easing measures to achieve a new 2 percent inflation target within 2 years are welcome,Japan be announce ease measure achieve new percent inflation target year be welcome
221,0.0,0.0,"Excessive may be building in some sectors United States corporate credit and insurance markets , housing price booms in a number of smaller advanced economies after more than five years of exceptionally low rates see annex",excessive may be build sector United States corporate credit insurance market housing price boom number smaller advanced economy more year low rate see annex
222,0.0,0.0,"An effective monetary policy communication strategy will remain essential , particularly in an environment of higher financial market volatility",effective monetary policy communication strategy will remain essential environment higher financial market volatility
223,0.0,0.0,"One such option could be a longer term LTRO combined with a review of current collateral policies , particularly on loans to SMEs",such option could be longer term ltro combine review current collateral policy loan sme
224,0.0,0.0,"Several countries have already cut policy rates in response to the recent weakness in activity for example , India , Korea",several country have cut policy rate response recent weakness activity example India Korea
225,0.0,0.0,"Global imbalances have narrowed sharply after the crisis , reflecting some painful corrections and cyclical factors see chart",global imbalance have narrow crisis reflect painful correction cyclical factor see chart
226,0.0,0.0,"Along with addressing sovereign tensions , removing uncertainty about the resilience of banks",address sovereign tension remove uncertainty resilience bank
227,0.0,0.0,and greater confidence in policymakers ' ability to act decisively,greater confidence policymaker ability act
228,0.0,0.0,"For some countries , using fiscal policy to contain",country use fiscal policy contain
229,0.0,0.0,Comprehensive and ambitious consolidation plans and entitlement reform are instrumental given tradeoffs facing fiscal policy,Comprehensive ambitious consolidation plan entitlement reform be instrumental give tradeoff face fiscal policy
230,0.0,0.0,There is also room to expand the Loan Support Program,be room expand loan support program
231,0.0,0.0,reducing credit spreads in the periphery is essential to improve the transmission of monetary policy as well as foster sustainable growth,reduce credit spread periphery be essential improve transmission monetary policy foster sustainable growth
232,0.0,0.0,Monetary policy in emerging economies has to balance the need to support demand against the risk of exacerbating capital outflows or deteriorating credit quality,Monetary policy emerge economy have balance need support demand risk exacerbate capital outflow deteriorate credit quality
233,0.0,0.0,"to support growth remains limited , but lower",support growth remain limited lower
234,0.0,0.0,as needed,need
235,0.0,0.0,"that infrastructure needs have been identified , there is slack in the economy , monetary policy is accommodative , investment processes are relatively efficient , and ratios are not already high",infrastructure need have be identify be slack economy monetary policy be accommodative investment process be efficient ratio be high
236,0.0,0.0,"The unwinding of medium and asset purchases is likely to be more gradual , and new instruments may be required to liquidity in a manner",unwind medium asset purchase be likely be gradual new instrument may be require liquidity manner
237,0.0,0.0,which may include wage moderation in line with productivity growth,may include wage moderation line productivity growth
238,0.0,0.0,Structural reforms are needed to raise potential output in both advanced and emerging economies,structural reform be need raise potential output advanced emerge economy
239,0.0,0.0,"In the euro area , policies should support individual countries ' efforts to repair public and private balance sheets and implement structural reforms to restore competitiveness",euro area policy should support individual country effort repair public private balance sheet implement structural reform restore competitiveness
240,0.0,0.0,"This risk is limited over the near term ,",risk be limit near term
241,0.0,0.0,when deployed within coherent frameworks,deploy coherent framework
242,0.0,0.0,"In the euro area , restoring the transmission channel requires addressing counterparty risk in the interbank market and the redenomination risk",euro area restore transmission channel require address counterparty risk interbank market redenomination risk
243,0.0,0.0,It should also consider providing stronger guidance to markets by moving to more monetary policy communication to increase the transparency of its assessment of inflation prospects and strengthen the signal of its commitment to the inflation target,should consider provide stronger guidance market move more monetary policy communication increase transparency assessment inflation prospects strengthen signal commitment inflation target
244,0.0,0.0,which illustrates the benefits of recalibrating the policy mix across both surplus and deficit countries see IMF 2017 External Sector Report,illustrate benefit recalibrate policy mix surplus deficit country see IMF External Sector Report
245,0.0,0.0,"At the same time , the design of fiscal policy should support growth , including by enhancing infrastructure investment see Annex",same time design fiscal policy should support growth include enhance infrastructure investment see Annex
246,0.0,0.0,The overall pace of policy adjustment and removal of financial support will depend on the strength of recovery in private demand in each country and enduring financial stability,overall pace policy adjustment removal financial support will depend strength recovery private demand country endure financial stability
247,0.0,0.0,"In the United States and the United Kingdom , where the recovery is stronger",United States United Kingdom recovery be stronger
248,0.0,0.0,"as needed , are essential to limit financial risks",need be essential limit financial risk
249,0.0,0.0,"that seek to insulate domestic markets from high world prices for example , export bans or subsidies ,",seek insulate domestic market high world price example export ban subsidy
250,0.0,0.0,"For these measures to succeed , they need to be supported by growth and fiscal reforms",measure succeed need be support growth fiscal reform
251,0.0,0.0,"where the growth outlook is very weak , unemployment is high , and inflation is projected well below the 2 percent target",growth outlook be weak unemployment be high inflation be project percent target
252,0.0,0.0,"Some reforms have more potential to boost demand in the short term , such as those",reform have potential boost demand short term such
253,0.0,0.0,that are already witnessing relatively vigorous rebounds of activity,be witness vigorous rebound activity
254,0.0,0.0,which would be self-defeating,would be self-defeating
255,0.0,0.0,Reducing uncertainties surrounding `` Brexit '' would help reduce the risk of a protracted tightening of financial conditions,reduce uncertainty surround Brexit would help reduce risk protracted tightening financial condition
256,0.0,0.0,"Further actions could include longer term LTROs possibly targeted to SMEs , and further rate cuts , including mildly negative deposit rates , to support demand and reduce fragmentation",further action could include longer term ltros target sme further rate cut include negative deposit rate support demand reduce fragmentation
257,0.0,0.0,"while exceptional monetary accommodation , including through UMP , continues to provide important support to the recovery , potential side effects should be monitored closely and addressed",exceptional monetary accommodation include ump continue provide important support recovery potential side effect should be monitor address
258,0.0,0.0,particularly if the financial system remains vulnerable and prone to adverse shocks,financial system remain vulnerable prone adverse shock
259,1.0,1.0,"Minimal room remains to lower policy rates in key advanced economies , except the euro area , and monetary transmission may be hindered by the state of the financial sector",minimal room remain lower policy rate key advanced economy euro area monetary transmission may be hinder state financial sector
260,0.0,0.0,One of the key lessons from experiences of similar crises is,key lesson experience similar crisis be
261,0.0,0.0,if needed,need
262,0.0,0.0,"Policy rates in major advanced economies are exceptionally low , and markets expect them to remain low for an extended period",policy rate major advanced economy be low market expect remain low extended period
263,0.0,0.0,"Vulnerabilities are currently masked by unusually accommodative monetary conditions , but the window of opportunity to prepare the financial system against potential systemic shocks could close unexpectedly",vulnerability be mask accommodative monetary condition window opportunity prepare financial system potential systemic shock could close
264,0.0,0.0,"Concern about asset values and risky exposures should be addressed by forcing banks to build capital buffers ,",concern asset value risky exposure should be address force bank build capital buffer
265,0.0,0.0,"with inflation still above target in some economies , and fiscal positions weaker than desirable in others",inflation target economy fiscal position weaker desirable other
266,1.0,1.0,"Where room exists , policy rates should be cut further",room exist policy rate should be cut
267,0.0,0.0,"that further declines in inflation , even if temporary , may lead to additional downdraft in inflation expectations and rising real interest rates",further decline inflation temporary may lead additional downdraft inflation expectation rise real interest rate
268,0.0,1.0,With the exception of the ECB which cut its refinancing rate further by 25 basis points to one percent in early May,exception ecb cut refinancing rate basis point percent early May
269,0.0,1.0,The breathing space provided by exceptionally accommodative monetary policies should be used by authorities to tackle underlying issues,breathing space provide accommodative monetary policy should be use authority tackle underlie issue
270,1.0,0.0,The monetary policy stance needs to remain tight to ensure a durable reduction in inflation and inflation expectations,monetary policy stance need remain tight ensure durable reduction inflation inflation expectation
