sentence,hirose_san_score,model_score
"Where required and feasible , more supportive macroeconomic policies can reduce the impact on growth",0,0
that help ease credit constraints on firms and households,0,0
the exchange rate act as a buffer against shocks,0,0
Reinforcing the growth momentum requires the right mix of demand support and supply reforms,0,0
While many emerging market and developing economies,0,0
"In those economies with broadly balanced external positions , monetary tightening may be complicated",1,1
Monetary easing can be the first line of defense against liquidity pressures and downside risks,0,0
"Reversing financial fragmentation for example , reducing financial home bias , improving bank flows",0,0
where strong nominal anchors are not well established .,0,0
"Monetary policy tightening may encourage these flows ,",1,1
Repair and reform of financial systems critical to the normalization of credit conditions in several countries and to prevent contagion needs to be accelerated,0,0
Policymakers should employ appropriate macro and tools to mitigate such outcomes,0,0
including by agreeing on a common policy response to the refugee surge and securing external borders,0,0
measures should be formulated in the near future,0,0
"However , where shares of food and energy in consumption are high and policy credibility is low ,",0,0
"that growth has slowed , and planned fiscal consolidation , current monetary policy accommodation should remain as long",0,1
"A heavy reliance on unconventional monetary policy UMP , for example , has had overall positive effects and has bought time but needs support from other policies to succeed",0,1
"With shrinking fiscal buffers , many commodity exporters need to develop new growth models and tackle fiscal adjustment , including through reduced but more efficient public expenditures , stronger fiscal frameworks , and mobilizing new sources of revenues",0,0
"In emerging economies , managing vulnerabilities and rebuilding resilience are high priorities in a context of tightening external financial conditions",0,0
"The key objective will be to maintain price stability , but",0,0
Clear communication of central bank intentions is vital to help avoid new financial excesses or abrupt reversals of capital flows,0,0
until a durable recovery is in sight,1,0
where market concerns regarding public debt sustainability are high or rising,0,0
"In the United States , monetary policy normalization should continue to be gradual and data driven",1,1
"Also , a tightening of the fiscal stance may help monetary and debt management ,",0,1
fiscal and structural policies,0,0
that external financial conditions both availability of capital flows and borrowing costs will eventually tighten,0,0
"It will also make systemic institutions more resilient , help contain asset price and credit dynamics , and cushion",0,0
where it is limited considering possible tradeoffs between building buffers and slowing growth and strengthen policy frameworks,0,0
Sustainably higher and inclusive growth requires more forceful and comprehensive policies,0,0
fiscal space should be used actively to provide further additional support,0,0
"that protracted monetary support has raised financial stability concerns : In the United States , with growth expected to increase above trend in the remainder of 2014 and 2015 , the main policy issue is the appropriate speed of monetary policy normalization",0,1
central banks will need eventually to unwind their extraordinary liquidity support and withdraw conventional and unconventional monetary accommodation,0,1
there may be scope for with limited policy easing to support a resumption of growth,0,0
monetary policy measures does not necessarily constrain increases in policy rates,1,0
"In Brazil , the room for monetary policy easing is limited by underlying inflationary pressures and fiscal consolidation should continue to reduce large deficits",1,1
"In many advanced economies , monetary policy can afford to remain accommodative for an extended period , given subdued price pressures",0,1
who disproportionately shoulder the burden of adjustment,0,0
"Fiscal policy should be growth friendly , with the pace and composition of fiscal adjustment",0,0
as long as inflationary pressures remain in check,0,0
"Thus , the first challenge is",0,0
"In the United States , agreement on a credible fiscal roadmap could help create some policy space , mitigate risks of excessive consolidation , and ease the burden currently placed on monetary policy",0,1
"In countries where fiscal adjustment is needed ,",0,0
as output gaps shrink,0,0
The challenges of placing fiscal policy on a sustainable path both political and economic are greater than for normalizing monetary policy,0,0
"are already raising policy rates , real rates still remain low or even negative",0,0
that quantitative easing in the United States could result in a flood of capital,0,0
"Current plans to end tapering later this year and increase policy rates from the middle of next year appear appropriate , given the sizable slack",1,1
Sovereigns under stress need to continue to adjust and request appropriate EFSF/ESM support,0,0
"In emerging Europe , the scope for monetary easing has been limited by the risk of exacerbating capital outflows",0,0
"Developing clear and effective exit strategies from exceptional policy actions will be central to ensure a smooth return to normal market functioning , to safeguard the sustainability of public finances , and to contain concerns about inflation",0,0
which requires further monetary tightening,1,1
"where stimulus measures have contributed directly to a strong rebound in domestic demand , or",0,0
"Emerging economies need to be nimble in dealing with potentially adverse spillovers from advanced economies , and continue to strengthen macroeconomic policy frameworks",0,0
an expansionary fiscal stance has a clear and direct impact on the of debt,0,0
"In most advanced economies , monetary policy is expected to remain appropriately accommodative ,",0,0
The pace and composition of fiscal adjustment should be attuned to supporting both the recovery and growth,0,0
"The government should articulate structural measures to underpin the consolidation path , including subsidy reform and progress on the Goods and Services Tax",0,0
Monetary policy tightening may also be necessary,1,1
"Policy requirements differ vastly among emerging economies , but many can afford to stay on hold or ease",0,0
"These monetary policy efforts should be supported by measures to strengthen bank balance sheets ,",0,1
"Given a path for fiscal policies , monetary policy can be set to achieve a desired level of overall stimulus , tightening",1,1
which would help to improve monetary policy transmission and credit market conditions,0,0
"declined sharply , with some falling below levels ,",0,0
"if the central bank has exhausted the sterilization possibilities and risks losing monetary control , or does not want to accumulate further reserves assuming",0,0
"There is scope for better cooperation on unwinding UMP , especially through wider central bank discussions of exit plans",0,0
External rebalancing should continue,0,0
"With fiscal stimulus gradually receding , a premature tightening of monetary policy could undercut the recovery",1,1
"The Federal Open Market Committee 's FOMC decision should remain , with the first increase in the federal funds rate waiting",0,0
"By contrast , most emerging economies are projected to maintain neutral or somewhat contractionary monetary stances , suitably contributing to bring or keep inflation in line with central bank targets",0,0
"interest rates is not an attractive policy option ,",0,0
"which highlights the challenges faced by oil exporters with fixed exchange rate regimes for example , Venezuela , Ecuador",0,0
Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth,0,0
"For example , some labor market reforms benefit employment more",0,0
"which can be reversed quickly , has few obvious direct downsides",0,0
The Fed has signaled,0,0
The principles laid out below are intended to establish common ground for the design and implementation of policies during the exit from extraordinary support measures taken during the crisis,0,0
as weak balance sheets and confidence are likely to weigh on credit availability,0,0
"Additional unconventional monetary support targeted long term refinancing operations , lower collateral haircuts could also help reduce fragmentation and restore monetary transmission",1,1
when to raise interest rates and the second is,0,0
Central banks will need to devise plans to exit from unconventional measures to ensure a smooth return to private intermediation and to forestall concerns,0,1
Financial stability risks related to a prolonged period of low interest rates bring macro prudential policies to the forefront,0,0
and the monetary union,0,0
"Widespread financial , fiscal , and structural impediments need to be addressed to bolster growth and financial stability",0,0
Government budgetary policies are in the process of moving from stimulus to consolidation,0,0
"as the output gap , core inflation falls , and inflation expectations are well anchored",0,0
The financial sector remains the Achilles ' heel of recovery prospects for private demand,0,0
Policy priorities are thus for a coherent macroeconomic policy mix with a credible nominal anchor and good communication,0,0
"It would also be beneficial to reorient spending notably , to protect vulnerable sections of society against commodity price increases",0,0
"However , imbalances based on current policy trajectories are projected to widen again , signaling the need for further underlying adjustment",0,0
It will be important to have clarity on the process and objectives,0,0
Swift implementation and an expansion of the EU scheme to provide public and private investment would raise growth in the short and and have positive spillovers in the region,0,0
"Accordingly , unemployment is not forecast to be much higher in 2010 than before the crisis ,",0,0
"An effective response requires strengthening supervision and frameworks , as well as addressing corporate and banking sector vulnerabilities",0,0
"Achieving fiscal sustainability will be a difficult and prolonged process , making it imperative for consolidation to begin as soon",0,0
"If needed to support demand , fiscal policy provided space",0,0
There is an urgent need for structural reforms to raise potential output in both advanced and emerging economies,0,0
"slack is absorbed , or",0,0
"There is a clear case for the Fed to proceed along a very gradual upward path for the fed funds rate , conscious of global disinflationary trends and confirming along the way",0,0
"central bank actions as well as public interventions have improved the functioning of money , foreign exchange , and commercial paper markets",0,0
