,sentence,subsentences
161,"In the United States, monetary policy should continue to gradually normalize and remain data dependent, and plans for the Fed’s balance sheet should be well-communicated",plans for the Fed 's balance sheet should be well-communicated 
162,"Fiscal consolidation should proceed gradually, anchored in credible medium-term plans, which are lacking in some countries (notably Japan and the United States)","Fiscal consolidation should proceed gradually , anchored in credible medium-term plans , which are lacking in some countries notably Japan and the United States "
163,"Also, authorities will need to remain vigilant against the prospect of deteriorating credit quality emerging as a result of the monetary policy easing undertaken so far","Also , authorities will need to remain vigilant against the prospect of deteriorating credit quality emerging as a result of the monetary policy easing undertaken so far "
164,There is a need to put the global financial system on a more resilient footing,There is a need to put the global financial system on a more resilient footing 
165,"High unemployment and large output gaps are keeping wages and inflation expectations in the major advanced economies in check, notwithstanding large increases in food and energy prices","High unemployment and large output gaps are keeping wages and inflation expectations in the major advanced economies in check , notwithstanding large increases in food and energy prices "
166,"The government should articulate structural measures to underpin the consolidation path, including subsidy reform and progress on the Goods and Services Tax","The government should articulate structural measures to underpin the consolidation path , including subsidy reform and progress on the Goods and Services Tax "
167,"While monetary policy should continue supporting the recovery, challenges are increasingly different across countries","While monetary policy should continue supporting the recovery , challenges are increasingly different across countries "
168,"Under some circumstances, reserve accumulation, restrictions on capital inflows and macro-prudential measures could also form part of the policy mix","Under some circumstances , reserve accumulation , restrictions on capital inflows and macro-prudential measures could also form part of the policy mix "
169,"For oil exporters, the need to adjust fiscal stance would depend on the scope of savings from past higher prices of oil and exchange rate regimes","For oil exporters , the need to adjust fiscal stance would depend on the scope of savings from past higher prices of oil and exchange rate regimes "
170,"More recently however, inflation expectations have reversed, and the euro has strengthened, which could put downward pressure on prices","More recently however , inflation expectations have reversed ,"
171,"More recently however, inflation expectations have reversed, and the euro has strengthened, which could put downward pressure on prices","the euro has strengthened , which could put downward pressure on prices "
172,"The expected boost in economic activity from lower oil prices has not materialized, and lower energy costs are keeping inflation low","The expected boost in economic activity from lower oil prices has not materialized ,"
173,"The expected boost in economic activity from lower oil prices has not materialized, and lower energy costs are keeping inflation low",lower energy costs are keeping inflation low 
174,"Finally, the pace of fiscal withdrawal in 2014–15 is broadly appropriate in Japan, but a post-2015 consolidation plan remains needed","Finally , the pace of fiscal withdrawal in 2014 15 is broadly appropriate in Japan ,"
175,"Finally, the pace of fiscal withdrawal in 2014–15 is broadly appropriate in Japan, but a post-2015 consolidation plan remains needed",a post-2015 consolidation plan remains needed 
176,"More needs to be done in the euro area, where the growth outlook is very weak, unemployment is high, and inflation is projected well below the 2 percent target","More needs to be done in the euro area , where the growth outlook is very weak , unemployment is high ,"
177,"More needs to be done in the euro area, where the growth outlook is very weak, unemployment is high, and inflation is projected well below the 2 percent target",inflation is projected well below the 2 percent target 
178,"Where public debt is elevated, fiscal space should be re-built through growth-friendly consolidation (Brazil, India, Mexico)","Where public debt is elevated , fiscal space should be re-built through growth-friendly consolidation Brazil , India , Mexico "
179,"In the United States, monetary policy should continue to remain data-dependent, while downside risks to the outlook confirm the case for a very gradual upward path for the federal funds rate","In the United States , monetary policy should continue to remain data-dependent , while downside risks to the outlook confirm the case for a very gradual upward path for the federal funds rate "
180,"As recent turbulences have shown, economies with deteriorating macroeconomic imbalances, larger external funding requirements (relative to reserves) and lower policy credibility see more volatility","As recent turbulences have shown , economies with deteriorating macroeconomic imbalances , larger external funding requirements relative to reserves and lower policy credibility see more volatility "
181,"In particular, maintaining accommodative monetary policy through 2011, including through an expansion of central bank balance sheets, can counteract some of the contractionary effects of fiscal consolidation","In particular , maintaining accommodative monetary policy through 2011 , including through an expansion of central bank balance sheets , can counteract some of the contractionary effects of fiscal consolidation "
182,Monetary authorities have instruments to maintain control over interest rate policy,Monetary authorities have instruments to maintain control over interest rate policy 
183,"However, fiscal policies need to urgently deliver measures that lower deficits over the medium-term","However , fiscal policies need to urgently deliver measures that lower deficits over the medium-term "
184,Targeted programs to ease credit constraints would be also useful where the transmission mechanism is impaired,Targeted programs to ease credit constraints would be also useful where the transmission mechanism is impaired 
185,"With inflation still elevated, monetary tightening may have to be stepped up should inflation expectations worsen","With inflation still elevated , monetary tightening may have to be stepped up should inflation expectations worsen "
186,"In an environment of ongoing but incomplete transition to financial stability, changing growth dynamics and concerns about slow growth and high unemployment, achieving a better policy mix is important","In an environment of ongoing but incomplete transition to financial stability , changing growth dynamics and concerns about slow growth and high unemployment , achieving a better policy mix is important "
187,"The Fed’s employment and inflation objectives should guide policy decisions and the beginning of normalization of the monetary policy stance, which is currently expected around mid-2015","The Fed 's employment and inflation objectives should guide policy decisions and the beginning of normalization of the monetary policy stance , which is currently expected around mid-2015 "
188,"Central banks should be mindful that further declines in inflation, even if temporary, may lead to additional downdraft in inflation expectations and rising real interest rates","Central banks should be mindful that further declines in inflation , even if temporary , may lead to additional downdraft in inflation expectations and rising real interest rates "
189,"While net commodity importers benefit from reduced inflation pressures and external vulnerabilities, the scope for monetary policy easing could be limited in a context tighter external financing conditions","While net commodity importers benefit from reduced inflation pressures and external vulnerabilities , the scope for monetary policy easing could be limited in a context tighter external financing conditions "
190,"Large international reserves have provided scope, in some cases, to counter exchange rate volatility and sustain the availability of foreign currency funding, for example for trade finance","Large international reserves have provided scope , in some cases , to counter exchange rate volatility and sustain the availability of foreign currency funding , for example for trade finance "
191,"In the euro area, the ECB’s expanded asset purchase program has improved confidence and financial conditions, and raised inflation expectations initially","In the euro area , the ECB 's expanded asset purchase program has improved confidence and financial conditions , and raised inflation expectations initially "
192,"Given the still-fragile nature of the turnaround in global activity and financial markets, the paramount objectives for monetary, fiscal, and financial sector policies are continued support for the recovery, fully restoring the financial sector to health, and limiting downside risks","Given the still-fragile nature of the turnaround in global activity and financial markets , the paramount objectives for monetary , fiscal , and financial sector policies are continued support for the recovery , fully restoring the financial sector to health , and limiting downside risks "
193,"In the euro area, the ECB’s expanded asset purchase program has supported confidence and eased financial conditions, but inflation remains low","In the euro area , the ECB 's expanded asset purchase program has supported confidence and eased financial conditions ,"
194,"In the euro area, the ECB’s expanded asset purchase program has supported confidence and eased financial conditions, but inflation remains low",inflation remains low 
195,But public capital injections may also be necessary,But public capital injections may also be necessary 
196,"Current projections are for a limited decline in budget deficits of emerging economies in 2011 and 2012, even though output growth and capacity utilization would continue to be above pre-crisis trend","Current projections are for a limited decline in budget deficits of emerging economies in 2011 and 2012 , even though output growth and capacity utilization would continue to be above pre-crisis trend "
197,"and pursue structural reforms to boost jobs and growth, with the appropriate country-specific policy mix depending on their respective circumstances","pursue structural reforms to boost jobs and growth , with the appropriate country-specific policy mix depending on their respective circumstances "
198,"In the United States, the main near-term policy issue is the appropriate timing and pace of monetary policy normalization","In the United States , the main near-term policy issue is the appropriate timing and pace of monetary policy normalization "
199,"Where demand is still lacking, there is scope for macroeconomic policies to help short-term growth while advancing the impact of structural reforms","Where demand is still lacking , there is scope for macroeconomic policies to help short-term growth while advancing the impact of structural reforms "
200,"In the meantime, there is some room for a lower policy rate","In the meantime , there is some room for a lower policy rate "
201,"With prospects improving, it will be critical to avoid a premature withdrawal of monetary policy accommodation, including in the United States","With prospects improving , it will be critical to avoid a premature withdrawal of monetary policy accommodation , including in the United States "
202,Maintaining an expansionary fiscal stance has a direct impact on the build- up of debt,Maintaining an expansionary fiscal stance has a direct impact on the build - up of debt 
203,Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth,Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth 
204,"Moreover, some of these economies are again seeing significant asset price increases and credit growth in response to low interest rates, raising the specter of renewed equity or real estate booms","Moreover , some of these economies are again seeing significant asset price increases and credit growth in response to low interest rates , raising the specter of renewed equity or real estate booms "
205,Conventional monetary tightening will need to be accompanied by steps to offset the impact of large central bank balance sheets,Conventional monetary tightening will need to be accompanied by steps to offset the impact of large central bank balance sheets 
206,Policymakers should also address structural obstacles to continued high growth while rebuilding fiscal policy buffers,Policymakers should also address structural obstacles to continued high growth while rebuilding fiscal policy buffers 
207,"In particular: Monetary policy responses, more generally, to external pressures will depend on country conditions and frameworks","In particular : Monetary policy responses , more generally , to external pressures will depend on country conditions and frameworks "
208,"In countries with still-elevated credit growth, supervisory and macro- prudential measures should be deployed to curb sectoral excesses.","In countries with still-elevated credit growth , supervisory and macro - prudential measures should be deployed to curb sectoral excesses ."
209,There is also room to expand the Loan Support Program in order to further enhance the monetary policy transmission,There is also room to expand the Loan Support Program in order to further enhance the monetary policy transmission 
210,"Provided that there is space, a supportive fiscal stance can help offset short-term adverse effects of structural reforms on aggregate demand, bringing forward the growth benefits","Provided that there is space , a supportive fiscal stance can help offset short-term adverse effects of structural reforms on aggregate demand , bringing forward the growth benefits "
211,The breathing space provided by exceptionally accommodative monetary policies should be used by authorities to tackle underlying issues that prevent a solid return to growth,The breathing space provided by exceptionally accommodative monetary policies should be used by authorities to tackle underlying issues that prevent a solid return to growth 
212,The principles laid out below are intended to establish common ground for the design and implementation of policies during the exit from extraordinary support measures taken during the crisis,The principles laid out below are intended to establish common ground for the design and implementation of policies during the exit from extraordinary support measures taken during the crisis 
213,"Nevertheless, there is a concern about diminishing effectiveness of unconventional actions, their side effects (for example, volatile capital flows), and potential difficulties related to unwinding them","Nevertheless , there is a concern about diminishing effectiveness of unconventional actions , their side effects for example , volatile capital flows , and potential difficulties related to unwinding them "
214,Recovery in advanced economies will need readily- available credit to allow easy monetary conditions to pass through,Recovery in advanced economies will need readily - available credit to allow easy monetary conditions to pass through 
215,"For example, some labor market reforms benefit employment more when demand is already strong—as this helps job seekers find work faster—or when fiscal and monetary policies can provide support","For example , some labor market reforms benefit employment more when demand is already strong as this helps job seekers find work faster or when fiscal and monetary policies can provide support "
216,"This risk is limited over the near term, as weak balance sheets and confidence are likely to weigh on credit availability","This risk is limited over the near term , as weak balance sheets and confidence are likely to weigh on credit availability "
217,The three requirements for a more resilient recovery are: sustained but gradual fiscal adjustment,The three requirements for a more resilient recovery are : sustained but gradual fiscal adjustment 
218,"Monetary policy should have some leeway to ease in emerging Asia, especially in 2014, as the output gap re-opens, core inflation falls, and inflation expectations are well anchored","Monetary policy should have some leeway to ease in emerging Asia , especially in 2014 , as the output gap re-opens , core inflation falls ,"
219,"Monetary policy should have some leeway to ease in emerging Asia, especially in 2014, as the output gap re-opens, core inflation falls, and inflation expectations are well anchored",inflation expectations are well anchored 
220,"Minimal room remains to lower policy rates in key advanced economies, except the euro area, and monetary transmission may be hindered by the state of the financial sector","Minimal room remains to lower policy rates in key advanced economies , except the euro area ,"
221,"Minimal room remains to lower policy rates in key advanced economies, except the euro area, and monetary transmission may be hindered by the state of the financial sector",monetary transmission may be hindered by the state of the financial sector 
222,"In the euro area, more monetary easing is needed to raise the prospects of achieving the ECB’s inflation objective, including by supporting demand, given the weak and fragile growth, large output gaps and very low inflation","In the euro area , more monetary easing is needed to raise the prospects of achieving the ECB 's inflation objective , including by supporting demand , given the weak and fragile growth , large output gaps and very low inflation "
223,"There are incipient signs of rising exposure to both interest rate and credit risk in regional banks that require increased vigilance, as low interest rates squeeze interest margins","There are incipient signs of rising exposure to both interest rate and credit risk in regional banks that require increased vigilance , as low interest rates squeeze interest margins "
224,These monetary policy efforts should be supported by measures to strengthen bank balance sheets and thereby improve monetary policy transmission and credit market conditions,These monetary policy efforts should be supported by measures to strengthen bank balance sheets and thereby improve monetary policy transmission and credit market conditions 
225,"Further action is needed to recapitalize, restructure, or resolve weak banks and improve the flow of credit to the economy, particularly in Europe","Further action is needed to recapitalize , restructure , or resolve weak banks and improve the flow of credit to the economy , particularly in Europe "
226,"For countries with less policy space, exchange rate flexibility will be a critical buffer to the shock","For countries with less policy space , exchange rate flexibility will be a critical buffer to the shock "
227,"This is advisable considering both the relative scales of policy adjustment required and managing risks to both economic and financial recovery For most countries, the risks presented by keeping stimulus in place too long suggest that adjustment is a key priority","This is advisable considering both the relative scales of policy adjustment required and managing risks to both economic and financial recovery For most countries , the risks presented by keeping stimulus in place too long suggest that adjustment is a key priority "
228,"In Europe, the resolution of non-performing loans should be accelerated through a combination of stricter supervision, insolvency reform, and the facilitation of secondary markets in distressed debt","In Europe , the resolution of non-performing loans should be accelerated through a combination of stricter supervision , insolvency reform , and the facilitation of secondary markets in distressed debt "
229,Monetary policy: maintain accommodation,Monetary policy : maintain accommodation 
230,"Cyclical weakening calls for monetary policy easing, or less tightening, for those economies where inflation and expectations are well anchored to provide room for maneuver","Cyclical weakening calls for monetary policy easing , or less tightening , for those economies where inflation and expectations are well anchored to provide room for maneuver "
231,"At the same time, a prolonged period of very low interest rates could fuel excessive risk taking","At the same time , a prolonged period of very low interest rates could fuel excessive risk taking "
232,"In the euro area, bank balance sheet repair remain essential to restore confidence and revive credit growth, and policymakers should make further progress on banking union through a Single Supervisory Mechanism and a Single Resolution Mechanism, and advance structural reforms","In the euro area , bank balance sheet repair remain essential to restore confidence and revive credit growth ,"
233,"In the euro area, bank balance sheet repair remain essential to restore confidence and revive credit growth, and policymakers should make further progress on banking union through a Single Supervisory Mechanism and a Single Resolution Mechanism, and advance structural reforms","policymakers should make further progress on banking union through a Single Supervisory Mechanism and a Single Resolution Mechanism , and advance structural reforms "
234,"The United Kingdom faces similar challenges: while monetary policy should stay accommodative for now, it might, however, have to be tightened quickly if costs run ahead of productivity growth or slack is absorbed, or Tightening could also be considered if macroprudential tools prove insufficient to deal with financial stability risks with due consideration to the tradeoffs involved vis-à-vis the real economy","The United Kingdom faces similar challenges : while monetary policy should stay accommodative for now , it might , however , have to be tightened quickly if costs run ahead of productivity growth or slack is absorbed , or Tightening could also be considered if macroprudential tools prove insufficient to deal with financial stability risks with due consideration to the tradeoffs involved the real economy "
235,"Commercial paper rates are falling in advanced economies, driven in part by major central banks’ direct purchases and liquidity operations targeted at short-term corporate financing","Commercial paper rates are falling in advanced economies , driven in part by major central banks ' direct purchases and liquidity operations targeted at short-term corporate financing "
236,Buffers should be rebuilt to create space for action should downside risks materialize,Buffers should be rebuilt to create space for action should downside risks materialize 
237,"In such economies—which include Brazil, India and Turkey—there is room for further consolidation","In such economies which include Brazil , India and Turkey there is room for further consolidation "
238,"In Brazil, the room for monetary policy easing is limited by underlying inflationary pressures and fiscal consolidation should continue to reduce large deficits","In Brazil , the room for monetary policy easing is limited by underlying inflationary pressures"
239,"In Brazil, the room for monetary policy easing is limited by underlying inflationary pressures and fiscal consolidation should continue to reduce large deficits",fiscal consolidation should continue to reduce large deficits 
240,"Although short-term policy requirements remain paramount, as signs of an economic turnaround in the global economy become more prevalent, markets have begun to express their concern about the future ramifications of unprecedented policy actions and massive public intervention","Although short-term policy requirements remain paramount , as signs of an economic turnaround in the global economy become more prevalent , markets have begun to express their concern about the future ramifications of unprecedented policy actions and massive public intervention "
241,"Greater exchange rate appreciation would dampen inflationary pressures, including from world commodity prices, introduce more two-way risk for capital inflows, and facilitate external rebalancing in surplus economies","Greater exchange rate appreciation would dampen inflationary pressures , including from world commodity prices , introduce more two-way risk for capital inflows , and facilitate external rebalancing in surplus economies "
242,"Fiscal policy should be growth friendly, with the pace and composition of fiscal adjustment—where needed—attuned to supporting the recovery","Fiscal policy should be growth friendly , with the pace and composition of fiscal adjustment where needed attuned to supporting the recovery "
243,"Excessive risk-taking may be building in some sectors (United States corporate credit and insurance markets, housing price booms in a number of smaller advanced economies) after more than five years of exceptionally low rates (see annex)","Excessive risk-taking may be building in some sectors United States corporate credit and insurance markets , housing price booms in a number of smaller advanced economies after more than five years of exceptionally low rates see annex "
244,"Taking advantage of the current low interest rate environment and depending on the availability of fiscal space, there is a case for more public investment","Taking advantage of the current low interest rate environment and depending on the availability of fiscal space , there is a case for more public investment "
245,and more efforts to better anchor expectations may be required where strong nominal anchors are not well established.,and more efforts to better anchor expectations may be required where strong nominal anchors are not well established .
246,"In Japan, the recent fiscal stimulus makes developing a credible fiscal plan that stabilizes and reduces debt even more urgent","In Japan , the recent fiscal stimulus makes developing a credible fiscal plan that stabilizes and reduces debt even more urgent "
247,This would allow for monetary policy to be tightened more gradually or by less than otherwise required,This would allow for monetary policy to be tightened more gradually or by less than otherwise required 
248,"National authorities should commit to provide sufficient national backstops, while the establishment of a common backstop (ESM direct recapitalization) remains crucial to sever sovereign-bank links in countries where debt dynamics are a concern and fiscal space is limited","National authorities should commit to provide sufficient national backstops , while the establishment of a common backstop ESM direct recapitalization remains crucial to sever sovereign-bank links in countries where debt dynamics are a concern and fiscal space is limited "
249,"Central bank purchases of assets, long-term refinancing operations, and other interventions in financial markets are helping to reduce funding costs and strengthen confidence, but there may be worsening tradeoffs, including credit misallocation","Central bank purchases of assets , long-term refinancing operations , and other interventions in financial markets are helping to reduce funding costs and strengthen confidence ,"
250,"Central bank purchases of assets, long-term refinancing operations, and other interventions in financial markets are helping to reduce funding costs and strengthen confidence, but there may be worsening tradeoffs, including credit misallocation","there may be worsening tradeoffs , including credit misallocation "
251,National backstops should be used where fiscal space exists,National backstops should be used where fiscal space exists 
252,"In some economies (Brazil, India, Turkey), maintaining the course of fiscal consolidation is critical, given large fiscal deficits and high inflation in some cases, and high external borrowing that has increased exposure to external funding risks in others","In some economies Brazil , India , Turkey , maintaining the course of fiscal consolidation is critical , given large fiscal deficits and high inflation in some cases , and high external borrowing that has increased exposure to external funding risks in others "
253,"Term repo rates have declined in major advanced economies, as a result of both policy rate cuts and central bank operations that aided the functioning of repo markets","Term repo rates have declined in major advanced economies , as a result of both policy rate cuts and central bank operations that aided the functioning of repo markets "
254,"Capital controls can be used in some cases, but they should not substitute for necessary macroeconomic and prudential policies","Capital controls can be used in some cases ,"
255,"Capital controls can be used in some cases, but they should not substitute for necessary macroeconomic and prudential policies",they should not substitute for necessary macroeconomic and prudential policies 
256,"At the same time, excess-deficit economies such as the United States and the United Kingdom should embark on growth-friendly fiscal consolidation","At the same time , excess-deficit economies such as the United States and the United Kingdom should embark on growth-friendly fiscal consolidation "
257,"In the euro area, improving the effectiveness of monetary policy will require the broad range of policies discussed above to reverse financial fragmentation","In the euro area , improving the effectiveness of monetary policy will require the broad range of policies discussed above to reverse financial fragmentation "
258,"While advanced economy central banks can likely address short- term issues related to policy normalization given their large balance sheets, they should continue to monitor any unintended consequences of their policies on sovereign-bank linkages, corporate leverage, financial innovation, international capital flows, and asset price bubbles","While advanced economy central banks can likely address short - term issues related to policy normalization given their large balance sheets , they should continue to monitor any unintended consequences of their policies on sovereign-bank linkages , corporate leverage , financial innovation , international capital flows , and asset price bubbles "
259,"Given a fragile recovery, an accommodative monetary policy stance remains appropriate in advanced economies, but negative spillovers to other economies, in particular emerging economies, need to be closely watched and managed carefully","Given a fragile recovery , an accommodative monetary policy stance remains appropriate in advanced economies ,"
260,"Given a fragile recovery, an accommodative monetary policy stance remains appropriate in advanced economies, but negative spillovers to other economies, in particular emerging economies, need to be closely watched and managed carefully","negative spillovers to other economies , in particular emerging economies , need to be closely watched and managed carefully "
261,Maintaining fiscal stimulus longer than needed has obvious and immediate consequences for debt accumulation,Maintaining fiscal stimulus longer than needed has obvious and immediate consequences for debt accumulation 
262,"There is evidence that forceful monetary easing, alongside enhanced credit and liquidity support, has helped ease financial stress (Figure 3)","There is evidence that forceful monetary easing , alongside enhanced credit and liquidity support , has helped ease financial stress Figure 3 "
263,"Policy rates in major advanced economies are exceptionally low, and markets expect them to remain low for an extended period","Policy rates in major advanced economies are exceptionally low ,"
264,"Policy rates in major advanced economies are exceptionally low, and markets expect them to remain low for an extended period",markets expect them to remain low for an extended period 
265,Sustainably higher and inclusive growth requires more forceful and comprehensive policies,Sustainably higher and inclusive growth requires more forceful and comprehensive policies 
266,"Accordingly, unemployment is not forecast to be much higher in 2010 than before the crisis, which suggests that inflation pressures would be less subdued than in the advanced economies","Accordingly , unemployment is not forecast to be much higher in 2010 than before the crisis , which suggests that inflation pressures would be less subdued than in the advanced economies "
267,"Developing clear and effective exit strategies from exceptional policy actions will be central to ensure a smooth return to normal market functioning, to safeguard the sustainability of public finances, and to contain concerns about inflation","Developing clear and effective exit strategies from exceptional policy actions will be central to ensure a smooth return to normal market functioning , to safeguard the sustainability of public finances , and to contain concerns about inflation "
268,Policymakers must remain alert to overheating risks as well as rising domestic financial vulnerabilities,Policymakers must remain alert to overheating risks as well as rising domestic financial vulnerabilities 
269,"If downside risks to global growth materialize, threatening to slow growth appreciably more than expected, monetary policy should be the first line of defense, although this line has become thin","If downside risks to global growth materialize , threatening to slow growth appreciably more than expected , monetary policy should be the first line of defense , although this line has become thin "
270,"With inflationary expectations well anchored, accommodative monetary policy in major advanced economies remains appropriate for now","With inflationary expectations well anchored , accommodative monetary policy in major advanced economies remains appropriate for now "
271,"Other measures, such as lowering barriers for new firms to enter product and services markets, tend to have immediate demand benefits by raising investment and are, therefore, less dependent on the state of the business cycle","Other measures , such as lowering barriers for new firms to enter product and services markets , tend to have immediate demand benefits by raising investment and are , therefore , less dependent on the state of the business cycle "
272,"Central banks should also carefully monitor unintended consequences their policies might have, for instance on sovereign-bank linkages, corporate leverage, and financial innovation as well as external spillovers","Central banks should also carefully monitor unintended consequences their policies might have , for instance on sovereign-bank linkages , corporate leverage , and financial innovation as well as external spillovers "
273,"In advanced G-20 economies, central banks can afford to maintain low interest rates for an extended period, as underlying inflation is expected to remain very low","In advanced G-20 economies , central banks can afford to maintain low interest rates for an extended period , as underlying inflation is expected to remain very low "
274,Policymakers in many emerging economies face a growth slowdown accompanied by a more challenging environment,Policymakers in many emerging economies face a growth slowdown accompanied by a more challenging environment 
275,"Where required and feasible, more supportive macroeconomic policies can reduce the short-term impact on growth","Where required and feasible , more supportive macroeconomic policies can reduce the short-term impact on growth "
276,"Most emerging G-20 economies need to bolster their financial stability frameworks to cope with volatile capital flows, including notably from sharp swings in global risk aversion.","Most emerging G-20 economies need to bolster their financial stability frameworks to cope with volatile capital flows , including notably from sharp swings in global risk aversion ."
277,"First, where fiscal policy directly supports infrastructure investment (for example, Germany), it will raise productivity and the growth potential in the future, enhancing sustainability","First , where fiscal policy directly supports infrastructure investment for example , Germany , it will raise productivity and the growth potential in the future , enhancing sustainability "
278,"In this context, the new round of EU-wide stress test should be transparent, sufficiently stringent, and accompanied by contingent plans for quick recapitalization or resolution of banks to reassure markets","In this context , the new round of EU-wide stress test should be transparent , sufficiently stringent , and accompanied by contingent plans for quick recapitalization or resolution of banks to reassure markets "
279,"In most advanced economies, monetary policy is expected to remain appropriately accommodative, while the pace of normalization in the United States—which is reaching full employment—should continue to be gradual and data-dependent, alongside well communicated plans for the Federal Reserve’s balance sheet","In most advanced economies , monetary policy is expected to remain appropriately accommodative , while the pace of normalization in the United States which is reaching full employment should continue to be gradual and data-dependent , alongside well communicated plans for the Federal Reserve 's balance sheet "
280,The matter is more pressing in Europe due to sovereign contagion risks,The matter is more pressing in Europe due to sovereign contagion risks 
281,"Several countries have already cut policy rates in response to the recent weakness in activity (for example, India, Korea)","Several countries have already cut policy rates in response to the recent weakness in activity for example , India , Korea "
282,"While many emerging market and developing economies are already raising policy rates, real rates still remain low or even negative","While many emerging market and developing economies are already raising policy rates , real rates still remain low or even negative "
283,"In some emerging economies, lower oil prices may alleviate inflationary pressures and reduce vulnerabilities","In some emerging economies , lower oil prices may alleviate inflationary pressures and reduce vulnerabilities "
284,"Fiscal consolidation should continue, underpinned by comprehensive tax reform and further reductions in subsidies","Fiscal consolidation should continue , underpinned by comprehensive tax reform and further reductions in subsidies "
285,"Monetary policy needs to remain accommodative until the recovery is well established, while containing potentially adverse side effects","Monetary policy needs to remain accommodative until the recovery is well established , while containing potentially adverse side effects "
286,"At the same time, the design of fiscal policy should better support the long-run growth potential of the economy, including by enhancing infrastructure investment, provided that infrastructure needs have been identified, there is slack in the economy, monetary policy is accommodative, investment processes are relatively efficient, and debt-to-GDP ratios are not already high","At the same time , the design of fiscal policy should better support the long-run growth potential of the economy , including by enhancing infrastructure investment , provided that infrastructure needs have been identified , there is slack in the economy , monetary policy is accommodative , investment processes are relatively efficient ,"
287,"At the same time, the design of fiscal policy should better support the long-run growth potential of the economy, including by enhancing infrastructure investment, provided that infrastructure needs have been identified, there is slack in the economy, monetary policy is accommodative, investment processes are relatively efficient, and debt-to-GDP ratios are not already high",ratios are not already high 
288,"Moving expeditiously to address the legacies of the crisis—including bank funding concerns, the resolution of weak banks, and the restructuring of balance sheets for distressed households—as well as to alleviate regulatory uncertainty will strengthen financial systems and help catalyze rapid private-demand-led growth","Moving expeditiously to address the legacies of the crisis including bank funding concerns , the resolution of weak banks , and the restructuring of balance sheets for distressed households as well as to alleviate regulatory uncertainty will strengthen financial systems and help catalyze rapid growth "
289,Most major advanced economy central banks have reduced policy interest rates to close to the zero interest floor,Most major advanced economy central banks have reduced policy interest rates to close to the zero interest floor 
290,"In the euro area, robust action and follow-through are required on multiple fronts","In the euro area , robust action and follow-through are required on multiple fronts "
291,"Accordingly, in countries with fiscal room, automatic stabilizers should be allowed to play freely, and where stabilizers are small, temporary support, such as extended unemployment benefits or wage subsidies, could be continued","Accordingly , in countries with fiscal room , automatic stabilizers should be allowed to play freely ,"
292,"Accordingly, in countries with fiscal room, automatic stabilizers should be allowed to play freely, and where stabilizers are small, temporary support, such as extended unemployment benefits or wage subsidies, could be continued","where stabilizers are small , temporary support , such as extended unemployment benefits or wage subsidies , could be continued "
293,"External and financial vulnerabilities have risen, and could be exacerbated if capital flow reversals materialize, as private sector leverage has increased significantly, and current account positions have deteriorated","External and financial vulnerabilities have risen , and could be exacerbated if capital flow reversals materialize , as private sector leverage has increased significantly ,"
294,"External and financial vulnerabilities have risen, and could be exacerbated if capital flow reversals materialize, as private sector leverage has increased significantly, and current account positions have deteriorated",current account positions have deteriorated 
295,Other helpful measures include adjusting the composition of spending toward public investment and moving the revenue structure toward indirect and other taxes relatively less detrimental to growth,Other helpful measures include adjusting the composition of spending toward public investment and moving the revenue structure toward indirect and other taxes relatively less detrimental to growth 
296,More coordination is necessary to avoid fragmentation,More coordination is necessary to avoid fragmentation 
297,Consistent implementation and international cooperation is also critical for a level playing field and reducing fragmentation,Consistent implementation and international cooperation is also critical for a level playing field and reducing fragmentation 
298,"Building on recent achievements, the authorities should aim for sustained wage inflation, supported by higher public sector and minimum wages, alongside labor market reforms that reduce duality","Building on recent achievements , the authorities should aim for sustained wage inflation , supported by higher public sector and minimum wages , alongside labor market reforms that reduce duality "
299,"The key objective will be to maintain price stability, but where financial stability remains fragile, or key markets are not yet functioning, central banks may need to maintain crisis-intervention measures or possibly introduce new targeted ones, even within the context of an overall tightening of the monetary policy stance","The key objective will be to maintain price stability ,"
300,"The key objective will be to maintain price stability, but where financial stability remains fragile, or key markets are not yet functioning, central banks may need to maintain crisis-intervention measures or possibly introduce new targeted ones, even within the context of an overall tightening of the monetary policy stance","where financial stability remains fragile , or key markets are not yet functioning , central banks may need to maintain crisis-intervention measures or possibly introduce new targeted ones , even within the context of an overall tightening of the monetary policy stance "
