,sentence,subsentence1,subsentence2
108,"In most advanced economies, output gaps are still substantial, inflation is below target, and monetary policy remains constrained by the zero lower bound","In most advanced economies , output gaps are still substantial , inflation is below target ,","In most advanced economies , output gaps are still substantial , inflation is below target ,"
109,"In most advanced economies, output gaps are still substantial, inflation is below target, and monetary policy remains constrained by the zero lower bound",monetary policy remains constrained by the zero lower bound ,monetary policy remains
110,"In most advanced economies, output gaps are still substantial, inflation is below target, and monetary policy remains constrained by the zero lower bound",monetary policy remains constrained by the zero lower bound ,constrained by the zero lower bound
111,Sustaining the recovery will require structural reforms to raise potential growth along with demand support.,Sustaining the recovery will require structural reforms to raise potential growth along with demand support .,Sustaining the recovery will require structural reforms to raise potential growth along with demand support .
112,"In a number of emerging economies, by contrast, monetary policy may have to tighten sooner—and might therefore be more synchronous with or even lead fiscal consolidation—if there are signs of rising inflation or incipient financial vulnerabilities, including credit booms","In a number of emerging economies , by contrast , monetary policy may have to tighten sooner and might therefore be more synchronous with or even lead fiscal consolidation if there are signs of rising inflation or incipient financial vulnerabilities , including credit booms ","In a number of emerging economies , by contrast , monetary policy may have to tighten sooner and might therefore be more synchronous with or even lead fiscal consolidation"
113,"In a number of emerging economies, by contrast, monetary policy may have to tighten sooner—and might therefore be more synchronous with or even lead fiscal consolidation—if there are signs of rising inflation or incipient financial vulnerabilities, including credit booms","In a number of emerging economies , by contrast , monetary policy may have to tighten sooner and might therefore be more synchronous with or even lead fiscal consolidation if there are signs of rising inflation or incipient financial vulnerabilities , including credit booms ","if there are signs of rising inflation or incipient financial vulnerabilities , including credit booms"
114,"In emerging economies, there remains scope to cut policy rates if needed to support demand, but rising asset prices and a vigorous turnaround in economic activity suggest that policy tightening may be needed in some countries","In emerging economies , there remains scope to cut policy rates if needed to support demand ,","In emerging economies , there remains scope to cut policy rates"
115,"In emerging economies, there remains scope to cut policy rates if needed to support demand, but rising asset prices and a vigorous turnaround in economic activity suggest that policy tightening may be needed in some countries","In emerging economies , there remains scope to cut policy rates if needed to support demand ,","if needed to support demand ,"
116,"In emerging economies, there remains scope to cut policy rates if needed to support demand, but rising asset prices and a vigorous turnaround in economic activity suggest that policy tightening may be needed in some countries",rising asset prices and a vigorous turnaround in economic activity suggest that policy tightening may be needed in some countries ,rising asset prices and a vigorous turnaround in economic activity suggest
117,"In emerging economies, there remains scope to cut policy rates if needed to support demand, but rising asset prices and a vigorous turnaround in economic activity suggest that policy tightening may be needed in some countries",rising asset prices and a vigorous turnaround in economic activity suggest that policy tightening may be needed in some countries ,that policy tightening may be needed in some countries
118,"In the euro area—building on OMT and ESM activation, further action is also needed to strengthen banks, address structural shortcomings and complete EMU","In the euro area building on OMT and ESM activation , further action is also needed to strengthen banks , address structural shortcomings and complete EMU ","In the euro area building on OMT and ESM activation , further action is also needed to strengthen banks , address structural shortcomings and complete EMU"
119,Authorities can afford to be more accommodative in those economies where the credibility of monetary policy is high,Authorities can afford to be more accommodative in those economies where the credibility of monetary policy is high ,Authorities can afford to be more accommodative in those economies
120,Authorities can afford to be more accommodative in those economies where the credibility of monetary policy is high,Authorities can afford to be more accommodative in those economies where the credibility of monetary policy is high ,where the credibility of monetary policy is high
121,"Attaining this objective will require meeting the onerous challenges to fiscal sustainability, normalizing monetary policy carefully withdrawing financial sector support, and avoiding policy inconsistencies across countries, as well as in the policy mix","Attaining this objective will require meeting the onerous challenges to fiscal sustainability , normalizing monetary policy carefully withdrawing financial sector support , and avoiding policy inconsistencies across countries , as well as in the policy mix ","this objective will require meeting the onerous challenges to fiscal sustainability , normalizing monetary policy carefully withdrawing financial sector support , and avoiding policy inconsistencies across countries , as well as in the policy mix"
122,"Continued demand rebalancing from deficit to surplus economies would strengthen global growth and, if done properly, would help resolve their internal imbalances","Continued demand rebalancing from deficit to surplus economies would strengthen global growth and , if done properly , would help resolve their internal imbalances ","Continued demand rebalancing from deficit to surplus economies would strengthen global growth and ,"
123,"Continued demand rebalancing from deficit to surplus economies would strengthen global growth and, if done properly, would help resolve their internal imbalances","Continued demand rebalancing from deficit to surplus economies would strengthen global growth and , if done properly , would help resolve their internal imbalances ","if done properly , would help resolve their internal imbalances"
124,"Broadly speaking, monetary policy accommodation should continue to play its supportive role, given low inflation and still large output gaps, and fiscal adjustment should be measured, while being anchored by a credible medium-term roadmap for sustainability","Broadly speaking , monetary policy accommodation should continue to play its supportive role , given low inflation and still large output gaps ,","Broadly speaking , monetary policy accommodation should continue to play its supportive role , given low inflation and still large output gaps ,"
125,"Broadly speaking, monetary policy accommodation should continue to play its supportive role, given low inflation and still large output gaps, and fiscal adjustment should be measured, while being anchored by a credible medium-term roadmap for sustainability","fiscal adjustment should be measured , while being anchored by a credible medium-term roadmap for sustainability ","fiscal adjustment should be measured , while being anchored by a credible medium-term roadmap for sustainability"
126,The pace and composition of fiscal adjustment should be attuned to supporting both the recovery and long-term growth,The pace and composition of fiscal adjustment should be attuned to supporting both the recovery and long-term growth ,The pace and composition of fiscal adjustment should be attuned to supporting both the recovery and long-term growth
127,"Also, the ECB should continue to provide liquidity and stay fully engaged in securities purchases to help improve the prospects for financial stability","Also , the ECB should continue to provide liquidity and stay fully engaged in securities purchases to help improve the prospects for financial stability ","Also , the ECB should continue to provide liquidity and stay fully engaged in securities purchases to help improve the prospects for financial stability"
128,The strengthening of activity in advanced economies and looming normalization of monetary policy in some implies that external financial conditions— both availability of capital flows and borrowing costs—will eventually tighten,The strengthening of activity in advanced economies and looming normalization of monetary policy in some implies that external financial conditions both availability of capital flows and borrowing costs will eventually tighten ,The strengthening of activity in advanced economies and looming normalization of monetary policy in some implies
129,The strengthening of activity in advanced economies and looming normalization of monetary policy in some implies that external financial conditions— both availability of capital flows and borrowing costs—will eventually tighten,The strengthening of activity in advanced economies and looming normalization of monetary policy in some implies that external financial conditions both availability of capital flows and borrowing costs will eventually tighten ,that external financial conditions both availability of capital flows and borrowing costs will eventually tighten
130,"Additionally, to sustain recovery in these countries some of the consolidation planned for 2011 might also have to be temporarily postponed","Additionally , to sustain recovery in these countries some of the consolidation planned for 2011 might also have to be temporarily postponed ","Additionally ,"
131,"Additionally, to sustain recovery in these countries some of the consolidation planned for 2011 might also have to be temporarily postponed","Additionally , to sustain recovery in these countries some of the consolidation planned for 2011 might also have to be temporarily postponed ",to sustain recovery in these countries some of the consolidation planned for 2011 might also have to be temporarily postponed
132,"In the United Kingdom, a range of recent monetary and other policy measures by the Bank of England will support the economy and thereby mitigate downside risks","In the United Kingdom , a range of recent monetary and other policy measures by the Bank of England will support the economy and thereby mitigate downside risks ","In the United Kingdom , a range of recent monetary and other policy measures by the Bank of England will support the economy and thereby mitigate downside risks"
133,The recent forward guidance provided by the ECB to anchor interest rate expectations was a welcome step,The recent forward guidance provided by the ECB to anchor interest rate expectations was a welcome step ,The recent forward guidance provided by the ECB to anchor interest rate expectations was a welcome step
134,Monetary policy should continue to aid recovery,Monetary policy should continue to aid recovery ,Monetary policy should continue to aid recovery
135,"Completing the reform of financial regulation and deploying macro-prudential tools as a first line of defense, as needed, are essential to limit financial risks","Completing the reform of financial regulation and deploying macro-prudential tools as a first line of defense , as needed , are essential to limit financial risks ","Completing the reform of financial regulation and deploying macro-prudential tools as a first line of defense ,"
136,"Completing the reform of financial regulation and deploying macro-prudential tools as a first line of defense, as needed, are essential to limit financial risks","Completing the reform of financial regulation and deploying macro-prudential tools as a first line of defense , as needed , are essential to limit financial risks ","as needed , are essential to limit financial risks"
137,"Circumstances vary across emerging markets, but many should act to restore fiscal buffers over time, use monetary policy to guard against downside risks, and rely on macro-prudential measures to safeguard financial stability","Circumstances vary across emerging markets ,","Circumstances vary across emerging markets ,"
138,"Circumstances vary across emerging markets, but many should act to restore fiscal buffers over time, use monetary policy to guard against downside risks, and rely on macro-prudential measures to safeguard financial stability","many should act to restore fiscal buffers over time , use monetary policy to guard against downside risks , and rely on macro-prudential measures to safeguard financial stability ","many should act to restore fiscal buffers over time , use monetary policy to guard against downside risks , and rely on macro-prudential measures to safeguard financial stability"
139,Emerging economies need to rebuild policy space and in some cases address domestic imbalances and vulnerabilities to prepare for tighter financial conditions,Emerging economies need to rebuild policy space and in some cases address domestic imbalances and vulnerabilities to prepare for tighter financial conditions ,Emerging economies need
140,Emerging economies need to rebuild policy space and in some cases address domestic imbalances and vulnerabilities to prepare for tighter financial conditions,Emerging economies need to rebuild policy space and in some cases address domestic imbalances and vulnerabilities to prepare for tighter financial conditions ,to rebuild policy space and
141,Emerging economies need to rebuild policy space and in some cases address domestic imbalances and vulnerabilities to prepare for tighter financial conditions,Emerging economies need to rebuild policy space and in some cases address domestic imbalances and vulnerabilities to prepare for tighter financial conditions ,in some cases address domestic imbalances and vulnerabilities to prepare for tighter financial conditions
142,To facilitate rebalanced global growth: advanced economies with large current account deficits should transition towards measures to raise savings,To facilitate rebalanced global growth : advanced economies with large current account deficits should transition towards measures to raise savings ,To facilitate rebalanced global growth : advanced economies with large current account deficits should transition towards measures to raise savings
143,"Episodes of volatile capital flows and exchange rates, along with continuing precautionary reserve accumulation, also suggest the need for further collective efforts to strengthen the IMS","Episodes of volatile capital flows and exchange rates , along with continuing precautionary reserve accumulation , also suggest the need for further collective efforts to strengthen the IMS ","Episodes of volatile capital flows and exchange rates , along with continuing precautionary reserve accumulation , also suggest the need for further collective efforts to strengthen the IMS"
144,"More fiscal stimulus in advanced surplus economies with fiscal space, continuing monetary support and growth-friendly fiscal rebalancing in deficit economies, and structural reforms would contribute to external rebalancing","More fiscal stimulus in advanced surplus economies with fiscal space , continuing monetary support and growth-friendly fiscal rebalancing in deficit economies , and structural reforms would contribute to external rebalancing ","More fiscal stimulus in advanced surplus economies with fiscal space , continuing monetary support and growth-friendly fiscal rebalancing in deficit economies , and structural reforms would contribute to external rebalancing"
145,"Concern about asset values and risky exposures should be addressed by forcing banks to build capital buffers, while unviable business models need to be unwound","Concern about asset values and risky exposures should be addressed by forcing banks to build capital buffers , while unviable business models need to be unwound ","Concern about asset values and risky exposures should be addressed by forcing banks to build capital buffers ,"
146,"Concern about asset values and risky exposures should be addressed by forcing banks to build capital buffers, while unviable business models need to be unwound","Concern about asset values and risky exposures should be addressed by forcing banks to build capital buffers , while unviable business models need to be unwound ",while unviable business models need to be unwound
147,"The recent Council agreement on the SRM is a step forward but the process appears complex, and may cause delays in decision making",The recent Council agreement on the SRM is a step forward,The recent Council agreement on the SRM is a step forward
148,"The recent Council agreement on the SRM is a step forward but the process appears complex, and may cause delays in decision making","the process appears complex , and may cause delays in decision making ","the process appears complex , and may cause delays in decision making"
149,"In many advanced economies, insufficient progress with repair and reform is weighing on credit growth, and slowing the normalization of monetary and fiscal policies, with adverse spillovers on emerging economies, through large and volatile capital flows","In many advanced economies , insufficient progress with repair and reform is weighing on credit growth , and slowing the normalization of monetary and fiscal policies , with adverse spillovers on emerging economies , through large and volatile capital flows ","In many advanced economies , insufficient progress with repair and reform is weighing on credit growth , and slowing the normalization of monetary and fiscal policies , with adverse spillovers on emerging economies , through large and volatile capital flows"
150,"Better central bank communications may help bring down real interest rates and provide added support to demand, including by reassuring markets against premature tightening","Better central bank communications may help bring down real interest rates and provide added support to demand , including by reassuring markets against premature tightening ","Better central bank communications may help bring down real interest rates and provide added support to demand , including by reassuring markets against premature tightening"
151,"Exiting from crisis-related public support policies should be viewed in the context of bridging towards strong, sustained and balanced growth with price stability","Exiting from crisis-related public support policies should be viewed in the context of bridging towards strong , sustained and balanced growth with price stability ","Exiting from crisis-related public support policies should be viewed in the context of bridging towards strong , sustained and balanced growth with price stability"
152,"To ensure transmission of tighter monetary conditions to the real economy, central banks will also need to withdraw excess bank reserves created by their exceptional liquidity provision and unconventional measures","To ensure transmission of tighter monetary conditions to the real economy , central banks will also need to withdraw excess bank reserves created by their exceptional liquidity provision and unconventional measures ","To ensure transmission of tighter monetary conditions to the real economy , central banks will also need to withdraw excess bank reserves created by their exceptional liquidity provision and unconventional measures"
153,Fast-growing advanced and emerging economies can start tightening policies now,Fast-growing advanced and emerging economies can start tightening policies now ,Fast-growing advanced and emerging
154,Fast-growing advanced and emerging economies can start tightening policies now,Fast-growing advanced and emerging economies can start tightening policies now ,economies can start tightening policies now
155,and greater confidence in policymakers’ ability to act decisively,greater confidence in policymakers ' ability to act decisively ,greater confidence in policymakers ' ability to act decisively
156,"There is a clear case for the Fed to proceed along a very gradual upward path for the fed funds rate, conscious of global disinflationary trends and confirming along the way that wage and price inflation are indeed maintaining their steady upward momentum","There is a clear case for the Fed to proceed along a very gradual upward path for the fed funds rate , conscious of global disinflationary trends and confirming along the way that wage and price inflation are indeed maintaining their steady upward momentum ","There is a clear case for the Fed to proceed along a very gradual upward path for the fed funds rate , conscious of global disinflationary trends and confirming along the way"
157,"There is a clear case for the Fed to proceed along a very gradual upward path for the fed funds rate, conscious of global disinflationary trends and confirming along the way that wage and price inflation are indeed maintaining their steady upward momentum","There is a clear case for the Fed to proceed along a very gradual upward path for the fed funds rate , conscious of global disinflationary trends and confirming along the way that wage and price inflation are indeed maintaining their steady upward momentum ",that wage and price inflation are indeed maintaining their steady upward momentum
158,"It would also be beneficial to reorient spending—notably, to protect vulnerable sections of society against commodity price increases","It would also be beneficial to reorient spending notably , to protect vulnerable sections of society against commodity price increases ","It would also be beneficial to reorient spending notably , to protect vulnerable sections of society against commodity price increases"
159,"At the same time, however, policymakers should be mindful of the impact of such action on other economies, notably through large and volatile capital flows","At the same time , however , policymakers should be mindful of the impact of such action on other economies , notably through large and volatile capital flows ","At the same time , however , policymakers should be mindful of the impact of such action on other economies , notably through large and volatile capital flows"
160,"Furthermore, fiscal policy adjustment typically has a long lead time relative to monetary policy","Furthermore , fiscal policy adjustment typically has a long lead time relative to monetary policy ","Furthermore , fiscal policy adjustment typically has a long lead time relative to monetary policy"
161,It should also consider providing stronger guidance to markets by moving to more forecast-oriented monetary policy communication to increase the transparency of its assessment of inflation prospects and strengthen the signal of its commitment to the inflation target,It should also consider providing stronger guidance to markets by moving to more forecast-oriented monetary policy communication to increase the transparency of its assessment of inflation prospects and strengthen the signal of its commitment to the inflation target ,It should also consider providing stronger guidance to markets by moving to more forecast-oriented monetary policy communication to increase the transparency of its assessment of inflation prospects and strengthen the signal of its commitment to the inflation target
162,"For instance, streamlining service or product sector regulations in surplus economies (for example, in Japan, Korea, and Germany) will encourage domestic demand and relative price adjustments","For instance , streamlining service or product sector regulations in surplus economies for example , in Japan , Korea , and Germany will encourage domestic demand and relative price adjustments ","For instance , streamlining service or product sector regulations in surplus economies for example , in Japan , Korea , and Germany will encourage domestic demand and relative price adjustments"
163,"It will also make systemic institutions more resilient, help contain pro-cyclical asset price and credit dynamics, and cushion the consequences of liquidity squeezes if volatility spikes","It will also make systemic institutions more resilient , help contain pro-cyclical asset price and credit dynamics , and cushion the consequences of liquidity squeezes if volatility spikes ","It will also make systemic institutions more resilient , help contain pro-cyclical asset price and credit dynamics , and cushion"
164,"It will also make systemic institutions more resilient, help contain pro-cyclical asset price and credit dynamics, and cushion the consequences of liquidity squeezes if volatility spikes","It will also make systemic institutions more resilient , help contain pro-cyclical asset price and credit dynamics , and cushion the consequences of liquidity squeezes if volatility spikes ",the consequences of liquidity squeezes if volatility spikes
165,"A tightening cycle has begun in other advanced economies (for example, Australia, Canada, Korea), but these central banks have signaled caution in further tightening given increased downside risks to the global economy","A tightening cycle has begun in other advanced economies for example , Australia , Canada , Korea ,","A tightening cycle has begun in other advanced economies for example , Australia , Canada , Korea ,"
166,"A tightening cycle has begun in other advanced economies (for example, Australia, Canada, Korea), but these central banks have signaled caution in further tightening given increased downside risks to the global economy",these central banks have signaled caution in further tightening given increased downside risks to the global economy ,these central banks have signaled caution in further tightening given
167,"A tightening cycle has begun in other advanced economies (for example, Australia, Canada, Korea), but these central banks have signaled caution in further tightening given increased downside risks to the global economy",these central banks have signaled caution in further tightening given increased downside risks to the global economy ,increased downside risks to the global economy
168,Policymakers should employ appropriate macro- and micro-prudential tools to mitigate such outcomes,Policymakers should employ appropriate macro - and micro-prudential tools to mitigate such outcomes ,Policymakers should employ appropriate macro - and micro-prudential tools to mitigate such outcomes
169,"At the same time, progress on other fronts is crucial","At the same time , progress on other fronts is crucial ","At the same time , progress on other fronts is crucial"
170,The problems facing the global economy are complex and joint action can help,The problems facing the global economy are complex,The problems facing the global economy are complex
171,The problems facing the global economy are complex and joint action can help,joint action can help ,joint action can help
172,"Over the medium run, priority should be given to completing the banking union, strengthening the single market, and moving closer to a fiscal union","Over the medium run , priority should be given to completing the banking union , strengthening the single market , and moving closer to a fiscal union ","Over the medium run , priority should be given to completing the banking union , strengthening the single market , and moving closer to a fiscal union"
173,"Depending on country needs, comprehensive action will combine structural reforms with demand support, anchored by coherent and well-communicated policy frameworks","Depending on country needs , comprehensive action will combine structural reforms with demand support , anchored by coherent and well-communicated policy frameworks ","Depending on country needs , comprehensive action will combine structural reforms with demand support , anchored by coherent and well-communicated policy frameworks"
174,"This is becoming increasingly relevant for many emerging economies, notably in Asia, that are already witnessing relatively vigorous rebounds of activity","This is becoming increasingly relevant for many emerging economies , notably in Asia , that are already witnessing relatively vigorous rebounds of activity ","This is becoming increasingly relevant for many emerging economies , notably in Asia ,"
175,"This is becoming increasingly relevant for many emerging economies, notably in Asia, that are already witnessing relatively vigorous rebounds of activity","This is becoming increasingly relevant for many emerging economies , notably in Asia , that are already witnessing relatively vigorous rebounds of activity ",that are already witnessing relatively vigorous rebounds of activity
176,"Fiscal tightening should also be the priority where stimulus measures have contributed directly to a strong rebound in domestic demand, or where market concerns regarding public debt sustainability are high or rising","Fiscal tightening should also be the priority where stimulus measures have contributed directly to a strong rebound in domestic demand , or where market concerns regarding public debt sustainability are high or rising ",Fiscal tightening should also be the priority
177,"Fiscal tightening should also be the priority where stimulus measures have contributed directly to a strong rebound in domestic demand, or where market concerns regarding public debt sustainability are high or rising","Fiscal tightening should also be the priority where stimulus measures have contributed directly to a strong rebound in domestic demand , or where market concerns regarding public debt sustainability are high or rising ","where stimulus measures have contributed directly to a strong rebound in domestic demand , or"
178,"Fiscal tightening should also be the priority where stimulus measures have contributed directly to a strong rebound in domestic demand, or where market concerns regarding public debt sustainability are high or rising","Fiscal tightening should also be the priority where stimulus measures have contributed directly to a strong rebound in domestic demand , or where market concerns regarding public debt sustainability are high or rising ",where market concerns regarding public debt sustainability are high or rising
179,"Monetary easing can be the first line of defense against liquidity pressures and downside risks where inflation is firmly anchored, although capital flow reversals, external financing needs, and financial stability risks might constrain scope for action in some countries","Monetary easing can be the first line of defense against liquidity pressures and downside risks where inflation is firmly anchored , although capital flow reversals , external financing needs , and financial stability risks might constrain scope for action in some countries ",Monetary easing can be the first line of defense against liquidity pressures and downside risks
180,"Monetary easing can be the first line of defense against liquidity pressures and downside risks where inflation is firmly anchored, although capital flow reversals, external financing needs, and financial stability risks might constrain scope for action in some countries","Monetary easing can be the first line of defense against liquidity pressures and downside risks where inflation is firmly anchored , although capital flow reversals , external financing needs , and financial stability risks might constrain scope for action in some countries ","where inflation is firmly anchored ,"
181,"Monetary easing can be the first line of defense against liquidity pressures and downside risks where inflation is firmly anchored, although capital flow reversals, external financing needs, and financial stability risks might constrain scope for action in some countries","Monetary easing can be the first line of defense against liquidity pressures and downside risks where inflation is firmly anchored , although capital flow reversals , external financing needs , and financial stability risks might constrain scope for action in some countries ","although capital flow reversals , external financing needs , and financial stability risks might constrain scope for action in some countries"
182,"In the United States, improving the transmission of the monetary easing would require resolution of the household debt overhang","In the United States , improving the transmission of the monetary easing would require resolution of the household debt overhang ","In the United States , improving the transmission of the monetary easing"
183,"In the United States, improving the transmission of the monetary easing would require resolution of the household debt overhang","In the United States , improving the transmission of the monetary easing would require resolution of the household debt overhang ",would require resolution of the household debt overhang
184,Prudential authorities will need to be watchful of risks flowing from low interest rates,Prudential authorities will need to be watchful of risks flowing from low interest rates ,Prudential authorities will need to be watchful of risks flowing from low interest rates
185,"7 In some advanced economies that have fiscal space and are operating at or close to capacity, additional spending could boost potential growth and create positive transitional spillovers for others","7 In some advanced economies that have fiscal space and are operating at or close to capacity , additional spending could boost potential growth and create positive transitional spillovers for others ",7 In some advanced economies
186,"7 In some advanced economies that have fiscal space and are operating at or close to capacity, additional spending could boost potential growth and create positive transitional spillovers for others","7 In some advanced economies that have fiscal space and are operating at or close to capacity , additional spending could boost potential growth and create positive transitional spillovers for others ","that have fiscal space and are operating at or close to capacity , additional spending could boost potential growth and create positive transitional spillovers for others"
187,"In the United States and the United Kingdom, where the recovery is stronger, the challenge is to manage exit from exceptionally accommodative monetary policies as output gaps shrink","In the United States and the United Kingdom , where the recovery is stronger , the challenge is to manage exit from exceptionally accommodative monetary policies as output gaps shrink ","In the United States and the United Kingdom ,"
188,"In the United States and the United Kingdom, where the recovery is stronger, the challenge is to manage exit from exceptionally accommodative monetary policies as output gaps shrink","In the United States and the United Kingdom , where the recovery is stronger , the challenge is to manage exit from exceptionally accommodative monetary policies as output gaps shrink ","where the recovery is stronger , the challenge is to manage exit from exceptionally accommodative monetary policies"
189,"In the United States and the United Kingdom, where the recovery is stronger, the challenge is to manage exit from exceptionally accommodative monetary policies as output gaps shrink","In the United States and the United Kingdom , where the recovery is stronger , the challenge is to manage exit from exceptionally accommodative monetary policies as output gaps shrink ",as output gaps shrink
190,"In the United States, agreement on a credible fiscal roadmap could help create some short-term policy space, mitigate risks of excessive near-term consolidation, and ease the burden currently placed on monetary policy","In the United States , agreement on a credible fiscal roadmap could help create some short-term policy space , mitigate risks of excessive near-term consolidation , and ease the burden currently placed on monetary policy ","In the United States , agreement on a credible fiscal roadmap could help create some short-term policy space , mitigate risks of excessive near-term consolidation , and ease the burden currently placed on monetary policy"
191,"A key to addressing this challenge is to expeditiously reform and repair financial sectors in the major advanced economies, which would both help catalyze a sustained private demand-led recovery in these economies, allow for interest rates increases and limit spillovers to emerging economies.","A key to addressing this challenge is to expeditiously reform and repair financial sectors in the major advanced economies , which would both help catalyze a sustained private demand-led recovery in these economies , allow for interest rates increases and limit spillovers to emerging economies .",A key to addressing
192,"A key to addressing this challenge is to expeditiously reform and repair financial sectors in the major advanced economies, which would both help catalyze a sustained private demand-led recovery in these economies, allow for interest rates increases and limit spillovers to emerging economies.","A key to addressing this challenge is to expeditiously reform and repair financial sectors in the major advanced economies , which would both help catalyze a sustained private demand-led recovery in these economies , allow for interest rates increases and limit spillovers to emerging economies .","this challenge is to expeditiously reform and repair financial sectors in the major advanced economies ,"
193,"A key to addressing this challenge is to expeditiously reform and repair financial sectors in the major advanced economies, which would both help catalyze a sustained private demand-led recovery in these economies, allow for interest rates increases and limit spillovers to emerging economies.","A key to addressing this challenge is to expeditiously reform and repair financial sectors in the major advanced economies , which would both help catalyze a sustained private demand-led recovery in these economies , allow for interest rates increases and limit spillovers to emerging economies .","which would both help catalyze a sustained private demand-led recovery in these economies , allow for interest rates increases and limit spillovers to emerging economies ."
194,"Following substantial easing in the first half of 2009, several emerging economies (including in Brazil, Indonesia, and South Africa) have paused in their monetary easing cycles on account of inflation concerns","Following substantial easing in the first half of 2009 , several emerging economies including in Brazil , Indonesia , and South Africa have paused in their monetary easing cycles on account of inflation concerns ","Following substantial easing in the first half of 2009 , several emerging economies including in Brazil , Indonesia , and South Africa have paused in their monetary easing cycles on account of inflation concerns"
195,"Specifically: In Brazil, slowing economic conditions will make it difficult to achieve the original budget targets for 2014","Specifically : In Brazil , slowing economic conditions will make it difficult to achieve the original budget targets for 2014 ","Specifically : In Brazil , slowing economic conditions will make it difficult to achieve the original budget targets for 2014"
196,"There is scope for better cooperation on withdrawal of UMP, especially through wider central bank discussions of exit plans","There is scope for better cooperation on withdrawal of UMP , especially through wider central bank discussions of exit plans ","There is scope for better cooperation on withdrawal of UMP , especially through wider central bank discussions of exit plans"
197,"In Japan, the BoJ’s objective to raise inflation to 2 percent and the sweeping enhancements to the monetary framework are welcome","In Japan , the BoJ 's objective to raise inflation to 2 percent and the sweeping enhancements to the monetary framework are welcome ","In Japan , the BoJ 's objective to raise inflation to 2 percent and the sweeping enhancements to the monetary framework are welcome"
198,"If the economy is not at risk of overheating, the appropriate policy response would be to lower interest rates and to tighten fiscal policy, thus reducing currency appreciation pressures","If the economy is not at risk of overheating , the appropriate policy response would be to lower interest rates and to tighten fiscal policy , thus reducing currency appreciation pressures ","If the economy is not at risk of overheating , the appropriate policy response would be to lower interest rates and to tighten fiscal policy , thus reducing currency appreciation pressures"
199,"The scale of fiscal adjustment required to ensure fiscal sustainability will be large, particularly in advanced economies","The scale of fiscal adjustment required to ensure fiscal sustainability will be large , particularly in advanced economies ","The scale of fiscal adjustment required to ensure fiscal sustainability will be large , particularly in advanced economies"
200,"With the exception of the ECB (which cut its refinancing rate further by 25 basis points to one percent in early May), major advanced country central banks are now effectively at the lower bound for policy rates","With the exception of the ECB which cut its refinancing rate further by 25 basis points to one percent in early May , major advanced country central banks are now effectively at the lower bound for policy rates ",With the exception of the ECB
201,"With the exception of the ECB (which cut its refinancing rate further by 25 basis points to one percent in early May), major advanced country central banks are now effectively at the lower bound for policy rates","With the exception of the ECB which cut its refinancing rate further by 25 basis points to one percent in early May , major advanced country central banks are now effectively at the lower bound for policy rates ","which cut its refinancing rate further by 25 basis points to one percent in early May , major advanced country central banks are now effectively at the lower bound for policy rates"
202,"The crisis compelled central banks to employ a wide range of crisis-intervention measures, in many cases unprecedented","The crisis compelled central banks to employ a wide range of crisis-intervention measures , in many cases unprecedented ","The crisis compelled central banks to employ a wide range of crisis-intervention measures , in many cases unprecedented"
203,"Given that the current aggressive pace of monetary easing may need to be maintained for an extended period, providing more information about asset purchases beyond end-2014 could further enhance transparency","Given that the current aggressive pace of monetary easing may need to be maintained for an extended period , providing more information about asset purchases beyond end-2014 could further enhance transparency ","that the current aggressive pace of monetary easing may need to be maintained for an extended period , providing more information about asset purchases beyond end-2014 could further enhance transparency"
204,These monetary measures need to be supplemented by progress on ‘third arrow’ structural reforms,These monetary measures need to be supplemented by progress on ` third arrow ' structural reforms ,These monetary measures need to be supplemented by progress on ` third arrow ' structural reforms
205,"In general, policy responses should be anchored by sound and credible monetary policy frameworks","In general , policy responses should be anchored by sound and credible monetary policy frameworks ","In general , policy responses should be anchored by sound and credible monetary policy frameworks"
206,These economies may have to consider tightening their fiscal stance more quickly (while maintaining measures aimed at mitigating the social impact of the crisis),These economies may have to consider tightening their fiscal stance more quickly while maintaining measures aimed at mitigating the social impact of the crisis ,These economies may have to consider tightening their fiscal stance more quickly
207,These economies may have to consider tightening their fiscal stance more quickly (while maintaining measures aimed at mitigating the social impact of the crisis),These economies may have to consider tightening their fiscal stance more quickly while maintaining measures aimed at mitigating the social impact of the crisis ,while maintaining measures aimed at mitigating the social impact of the crisis
