index,sentence,hirose_san_score,hirose_san_topic
20110709_1_9_1_1,"It would also be beneficial to reorient spending notably , to protect vulnerable sections of society against commodity price increases",0,0
20110709_1_4_1_1,The pace of recapitalization needs to be accelerated in order to provide cushions against asset losses or shocks to liquidity,0,0
20110709_1_10_1_2,"that seek to insulate domestic markets from high world prices for example , export bans or subsidies ,",0,0
20110709_1_10_1_1,"Authorities should aim to protect the poor and vulnerable groups through targeted social safety nets , but avoid policies",0,0
20110709_1_2_1_1,The matter is more pressing in Europe due to sovereign contagion risks,0,0
20110709_1_21_1_1,"However ,",,
20110709_1_21_1_3,"as is more common , authorities will have to react faster and more strongly .",0,0
20110709_1_6_1_1,"In some emerging markets , the task is to avoid overheating and prevent the build-up of financial imbalances",,
20110709_1_20_1_1,Authorities can afford to be more accommodative in those economies,1,1
20110709_1_16_1_2,"are already raising policy rates , real rates still remain low or even negative",0,0
20110709_1_21_1_2,"where shares of food and energy in consumption are high and policy credibility is low ,",,
20110709_1_3_1_1,"Though there has been progress on banking system repair , the pace is too slow",0,0
20110709_1_7_1_2,"which include Brazil , India and Turkey",,
20110709_1_11_1_1,Monetary Policy : Accommodative in Advanced Economies,0,0
20110709_1_16_1_1,While many emerging market and developing economies,0,0
20110709_1_1_1_1,There is a need to put the global financial system on a more resilient footing,0,0
20150904_1_17_1_1,"Hence , the program should be extended",0,0
20150904_1_24_1_1,"On the external front , financial conditions have tightened , commodity prices have declined sharply ,",-9,-9
20150904_1_9_2_1,monetary policy remains,,
20150904_1_9_2_2,constrained by the zero lower bound,0,0
20150904_1_4_1_1,"Fiscal policy should be growth friendly , including through increased infrastructure investment",-9,-9
20150904_1_3_1_1,"In advanced economies , accommodative monetary policy remains essential",0,1
20150904_1_5_1_1,"In many emerging economies , macroeconomic policy space",,
20150904_1_21_1_1,"In this context , the Bank of Japan should stand ready for further easing",1,1
20150904_1_9_1_1,"In most advanced economies , output gaps are still substantial , inflation is expected to remain below target ,",-9,-9
20150904_1_10_1_1,"The expected boost in economic activity from lower oil prices has not materialized ,",,
20150904_1_16_2_2,which could put downward pressure on prices,0,0
20150904_1_26_1_2,"if capital flow reversals materialize ,",0,0
20150904_1_16_1_1,More recently,,
20150904_1_5_1_3,"is more limited , with inflation still above target in some economies , and fiscal positions weaker than desirable in others",,
20150904_1_26_1_1,"External and financial vulnerabilities have risen , and could be exacerbated",0,0
20150904_1_14_1_1,"An effective monetary policy communication strategy will remain essential , also in light of differences between market and FOMC expectations about the path of short-term interest rates",,
20150904_1_20_1_1,"In Japan , accelerating",,
20150904_1_6_1_1,Structural reforms are needed to raise potential output in both advanced and emerging economies,0,0
20150904_1_24_2_1,exchange rates have been under pressure,-9,-9
20150904_1_15_1_1,"In the euro area , the ECB 's expanded asset purchase program has improved confidence and financial conditions , and raised inflation expectations initially",0,0
20150904_1_10_2_1,lower energy costs are keeping inflation low,,
20150904_1_13_1_2,the normalization is expected to be gradual,0,0
20150904_1_7_1_1,Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth,0,0
20150904_1_18_1_1,"These monetary policy efforts should be supported by measures to strengthen bank balance sheets ,",0,0
20150904_1_19_1_1,Stricter regulation of nonperforming loans and measures to improve insolvency and foreclosure procedures are a priority in this regard,0,0
20150904_1_27_1_2,"notably where inflation is above target , complicates the monetary policy response",,
20150904_1_25_1_1,"On the domestic front , macroeconomic policy space remains limited",-9,-9
20150904_1_27_1_3,as exchange rate depreciation could feed into inflation expectations and lead to a worsening inflation outlook .,0,0
20150904_1_17_1_2,if there is not sufficient improvement in inflation consistent with meeting medium-term price stability objectives,,
20150904_1_11_1_1,"Hence , monetary policy must stay accommodative to prevent real interest rates from rising prematurely",-9,-9
20150904_1_27_1_1,"Finally , lack of credibility ,",,
20150904_1_12_1_1,"In the United States , the main near-term policy issue is the appropriate timing and pace of monetary policy normalization",,
20150904_1_16_2_1,"the euro has strengthened ,",,
20150904_1_2_1_1,"Notably , raising actual and potential growth remains a key objective",0,0
20150904_1_16_1_2,"however , inflation expectations have reversed ,",,
20150904_1_26_2_1,current account positions have deteriorated,,
20150904_1_20_1_2,structural reforms is critical to boost confidence and contribute to higher domestic demand and favorable wage-price dynamics,,
20150904_1_22_1_1,It should also consider providing stronger guidance to markets by moving to more forecast-oriented monetary policy communication to increase the transparency of its assessment of inflation prospects and strengthen the signal of its commitment to the inflation target,,
20150904_1_25_1_2,as several economies have experienced inflation above target or/and weaker fiscal positions than before the crisis,-9,-9
20150904_1_8_1_1,"Accommodative monetary policies remain essential in many advanced economies , given still sizable output gaps",0,1
20150904_1_5_1_2,to support growth,,
20150904_1_18_1_2,which would help to improve monetary policy transmission and credit market conditions,0,0
20150904_1_13_1_1,"The Federal Open Market Committee 's FOMC decision should remain data-dependent and with little evidence of meaningful wage and price pressures so far ,",,
20150904_1_1_1_1,Policy priorities have taken on more urgency compared to the February G-20 Surveillance Note,,
20150904_1_23_1_1,Policymakers in many emerging economies face a growth slowdown accompanied by a more challenging environment,0,0
20150904_1_26_1_3,"as private sector leverage has increased significantly ,",,
20140219_1_17_1_3,even if at a slower pace,0,0
20140219_1_2_1_1,Emerging economies need,,
20140219_1_15_1_1,The recent Council agreement on the SRM is a step forward,0,0
20140219_1_2_1_3,in some cases address domestic imbalances and vulnerabilities to prepare for tighter financial conditions,0,0
20140219_1_1_1_1,"Monetary policy should remain accommodative in advanced economies ,",1,1
20140219_1_15_2_1,"the process appears complex , and may cause delays in decision making",,
20140219_1_6_1_1,"There is scope for better cooperation on unwinding UMP , especially through wider central bank discussions of exit plans",0,0
20140219_1_28_1_3,"where policy credibility has come into question , need to continue tightening monetary policy in the context of strengthened policy frameworks India and Turkey .",-1,1
20140219_1_1_2_1,fiscal consolidation will continue,,
20140219_1_5_1_1,"With prospects improving , it will be critical to avoid a premature withdrawal of monetary policy accommodation , including in the United States",0,1
20140219_1_19_1_2,"if low growth persists and monetary policy options are depleted , the flexibility in the current fiscal framework may need to be used to respond in these circumstances",,
20140219_1_26_1_1,And when risk sentiment changes against EMs,-9,-9
20140219_1_16_1_1,A quicker transition period for the mutualization of national contributions to the single resolution fund and a clearer decision on a common backstop and its timing are required to adequately break sovereign-bank links,,
20140219_1_7_1_1,"In the euro area , more monetary easing",0,1
20140219_1_28_1_2,"where inflation is still relatively high , or",0,0
20140219_1_22_1_1,Emerging economies face both near-term and medium-term challenges to support growth,,
20140219_1_2_1_2,to rebuild policy space and,,
20140219_1_12_1_4,where debt dynamics are a concern and fiscal space is limited,0,0
20140219_1_11_1_1,"In order to enhance the credibility of the exercise and make it easier to raise private capital , greater clarity is needed on the availability of public backstops as safety nets",0,0
20140219_1_1_1_2,as output gaps are large,,
20140219_1_27_1_1,Policy priorities are thus for a coherent macroeconomic policy mix with a credible nominal anchor and good communication,0,0
20140219_1_14_1_1,"In particular , a Single Resolution Mechanism SRM based on an independent centralized authority , with efficient resolution powers supported by a single resolution fund would be necessary to ensure least cost and timely resolution",0,0
20140219_1_21_1_1,"Credible macroeconomic policies and frameworks , alongside exchange rate flexibility are needed to weather the turbulence",0,0
20140219_1_26_1_2,"indiscriminately , having the policy space and credibility to react has been critical",-9,-9
20140219_1_20_1_1,Further progress is also needed in improving national fiscal governance in the context of recent fiscal institutions reforms in the euro area,-9,-9
20140219_1_4_1_1,Monetary policy should continue supporting demand given the still-large output gaps and ongoing fiscal consolidation,,
20140219_1_9_1_1,"But it would be critical to repair bank balance sheets to reduce financial fragmentation , improve the monetary transmission mechanism , and allow for a sustained recovery in investment",0,0
20140219_1_8_1_1,"Further actions could include longer - term LTROs possibly targeted to SMEs , and further rate cuts , including mildly negative deposit rates , to support demand and reduce fragmentation",,
20140219_1_24_1_1,The strengthening of the recovery and unwinding of accommodative monetary policy in advanced economies will lead to tighter external financing conditions and could generate further bouts of volatility in capital flows,0,0
20140219_1_23_1_1,"In the near term , priorities include : weathering the current turbulence and capital outflows and choosing counter-cyclical policy to close output gaps where possible , or the unavoidable pro-cyclical policies for those lacking policy space/credibility",,
20140219_1_10_1_1,A sound execution of the AQR and stress tests will be a key step toward reducing uncertainty about the health of banks and enabling balance sheet repair,0,0
20140219_1_3_1_1,"Further actions , including structural reforms , and cooperation are needed across the membership to lay the foundations for stronger and more balanced medium-term growth",,
20140219_1_18_1_1,This is broadly appropriate,-9,-9
20140219_1_28_1_1,"Specifically : On the monetary front , economies",0,0
20140219_1_19_1_1,"However ,",,
20140219_1_12_1_2,while the establishment of a common backstop,,
20140219_1_12_1_1,"National authorities should commit to provide sufficient national backstops ,",0,0
20140219_1_12_1_3,ESM direct recapitalization remains crucial to sever sovereign-bank links in countries,,
20140219_1_25_1_1,"As recent turbulences have shown , economies with deteriorating macroeconomic imbalances , larger external funding requirements relative to reserves and lower policy credibility see more volatility",0,0
20140219_1_13_1_1,the banking union is also critical to reducing financial fragmentation,-9,-9
20140219_1_17_1_2,"although a number of countries are still tightening ,",0,0
20140219_1_17_1_1,"In the euro area , the overall fiscal stance planned for 2014 is neutral ,",0,0
20140219_1_7_1_2,"is needed to raise the prospects of achieving the ECB 's inflation objective , including by supporting demand , given the weak and fragile growth , large output gaps and very low inflation",1,1
20160226_1_4_1_1,"But with inflation remaining low , the ECB should continue to signal strongly its willingness to use all the instruments available",-9,-9
20160226_4_11_1_3,once major political uncertainties are resolved,0,0
20160226_4_12_1_1,"The government should pursue fiscal consolidation by addressing rigidities and unsustainable mandates on the spending side , including in the social security system , and through tax measures and discretionary spending cuts to bolster fiscal results in the short run",0,0
20160226_3_2_1_1,"Structural reforms should focus on boosting labor supply , including by women and foreigners , reforming labor markets to remove duality , and deregulating further product and services markets .",-9,-9
20160226_1_5_1_1,"Moreover , QE should be supported by a more balanced policy mix comprising fiscal support , balance sheet repair , and structural reforms",0,0
20160226_4_10_1_2,if left unaddressed,0,0
20160226_1_1_1_2,where inflation rates are still well below target,-9,-9
20160226_4_8_1_1,The monetary policy stance needs to remain tight to ensure a durable reduction in inflation and inflation expectations,-1,1
20160226_2_5_1_1,"An early agreement on credible medium-term deficit reduction would provide the space to fund investments in infrastructure , to raise productivity and innovation , and enhance workers ' skills",,
20160226_4_7_1_2,"while external vulnerabilities have moderated and inflation has fallen faster than expected , persistently high inflation expectations and large fiscal deficits remain key macroeconomic challenges",,
20160226_4_2_1_1,"An effective response requires strengthening supervision and macro-prudential frameworks , as well as addressing corporate and banking sector vulnerabilities",,
20160226_1_6_1_1,"In Japan , the introduction of negative deposit rates by the BoJ underscores its commitment to maintain inflation momentum",0,0
20160226_2_6_1_1,"In the euro area , countries with fiscal space should do more to support growth for example , through infrastructure investment in Germany",0,0
20160226_4_14_2_1,fiscal consolidation should continue over the subsequent medium-term,-9,-9
20160226_1_7_1_1,"To benefit most from the additional easing , it should be supported with fiscal , structural , and ambitious incomes policies",0,0
20160226_2_7_1_1,Swift implementation and an expansion of the EU scheme to provide public and private investment would raise growth in the short and medium-term and have positive spillovers in the region,,
20160226_1_4_1_2,until its price stability mandate is met,-9,-9
20160226_1_1_1_1,Monetary policy should remain accommodative,-9,-9
20160226_4_14_1_1,"In Russia , given the magnitude of the negative shock to revenues from lower oil prices , some spending adjustment is necessary in 2016 ,",-9,-9
20160226_4_1_1_1,"In emerging economies , managing vulnerabilities and rebuilding resilience are high priorities in a context of tightening external financial conditions",0,0
20160226_3_1_1_2,that raise productivity are vital to tackle medium-term risks coming from continuing lackluster growth and the overburdening of monetary policy,,
20160226_4_5_1_2,that the effects of currency depreciations on balance sheets and domestic inflation rates are contained,0,0
20160226_4_5_1_1,"rate flexibility can usefully cushion the impact of adverse external shocks , provided",0,0
20160226_1_2_1_1,"In the United States , following the increase of the federal funds rate in mid-December , further actions should be well-communicated and based on clear evidence of wage or price pressures and an assessment",,
20160226_2_3_1_2,"that foster innovation and productivity , while protecting the most vulnerable",0,0
20160226_1_8_1_1,"Building on recent achievements , the authorities should aim for sustained wage inflation , supported by higher public sector and minimum wages , alongside labor market reforms",0,0
20160226_1_3_1_1,"In the euro area , the ECB 's asset purchase program has supported the recovery by improving confidence and financial conditions",-9,-9
20160226_4_7_1_1,"More specifically : In India ,",,
20160226_4_3_1_2,that still have fiscal buffers should use them to smooth the adjustment to lower commodity prices,0,0
20160226_2_3_1_1,"Where necessary , fiscal consolidation should remain growth-friendly and support policies",,
20160226_4_3_1_1,Those commodity exporters,0,0
20160226_4_11_1_2,policy frameworks are imperative for a turnaround in confidence and investment,0,0
20160226_2_2_1_1,"Where public debt is high , commitments to credible medium-term consolidation plans can create policy space",-9,-9
20160226_4_6_1_1,"While net commodity importers benefit from reduced inflation pressures and external vulnerabilities , the scope for monetary policy easing could be limited in a context tighter external financing conditions",0,0
20160226_2_4_1_2,"while the recent bipartisan fiscal agreements was an important positive step , further fiscal efforts are needed to stabilize the ratio in the medium-term",,
20160226_4_16_1_1,"The recent pause in monetary policy easing has been appropriate given the risks to inflation from ruble depreciation , external risks , and the need to build credibility under the newly introduced inflation targeting regime .",0,1
20160226_2_4_1_3,as interest rates gradually increase,,
20160226_2_4_2_1,the demographic transition intensifies,,
20160226_2_1_1_1,"To avoid over-reliance on monetary policy , near-term fiscal policy should support the recovery where appropriate and provided",-9,-9
20160226_2_9_1_1,"In Japan , a commitment to fiscal consolidation centered on a pre-announced path of gradual consumption tax hikes and a strengthening of fiscal institutions would create near-term policy space to maintain growth momentum .",-9,-9
20160226_4_9_1_1,"Fiscal consolidation should continue , underpinned by comprehensive tax reform and further reductions in subsidies",0,0
20160226_4_10_1_1,Vulnerabilities in corporate financial positions and public bank asset quality could threaten financial stability,0,0
20160226_2_8_1_1,"Temporary costs related to refugee expenditures should generally be accommodated ,",-9,-9
20160226_4_4_1_1,"Many countries , however , will need to plan for fiscal adjustment , including through reduced but more efficient public expenditures and stronger fiscal frameworks , mobilizing new sources of revenues , as well as new growth models",-9,-9
20160226_1_8_1_2,that reduce duality .,-9,-9
20160226_2_8_2_1,the compatibility with current fiscal targets assessed on a basis,-9,-9
20160226_4_11_1_1,"In Brazil , an appropriate macroeconomic policy mix and restored",0,0
20160226_1_2_1_2,that inflation is set to rise steadily toward the Federal Reserve 's two percent medium-term objective,,
20160226_3_1_1_1,"In Japan , incomes policies and structural reforms",0,0
20160226_2_1_1_2,"there is fiscal space , focusing on investment",-9,-9
20160226_4_13_1_1,The reduction in inflation toward the 4,,
20160226_4_15_1_1,the three-year fiscal framework around a revised oil price rule would help reduce policy uncertainty and support the adjustment,-9,-9
20160226_2_4_1_1,"In the United States ,",,
20100423_1_11_1_1,"In some emerging economies for example , Brazil , emerging Asia , owing to rapidly closing output gaps or concerns about credit quality , monetary accommodation is already being removed or will need be to be removed relatively soon",-1,1
20100423_1_7_1_1,"Monetary policy can remain accommodative in the major advanced countries ,",,
20100423_1_3_1_1,Accommodative monetary policy does not have such automatic consequences and can be reversed quickly,0,0
20100423_1_12_1_3,that undermine competitiveness,0,0
20100423_1_14_1_1,"If the economy is not at risk of overheating , the appropriate policy response would be to lower interest rates and to tighten fiscal policy , thus reducing currency appreciation pressures",1,1
20100423_1_7_2_1,monetary tightening may be considered in some emerging economies facing risks of overheating,,
20100423_1_12_1_1,"In those economies with broadly balanced external positions , monetary tightening may be complicated",0,1
20100423_1_2_1_2,on the build - up of debt,,
20100423_1_8_1_1,"In advanced economies , central banks should maintain low policy rates through 2010 ,",-9,-9
20100423_1_8_1_2,as inflation is expected to remain low and unemployment high for some time,-9,-9
20100423_1_15_1_1,"In economies facing high inflationary pressures , reducing",,
20100423_1_9_1_1,This can be achieved,0,0
20100423_1_13_1_1,Monetary and fiscal policies can be used to reduce inflows,0,0
20100423_1_2_1_1,an expansionary fiscal stance has a direct impact,0,0
20100423_1_1_1_1,"In sequencing an exit from crisis-related policies , fiscal policy should generally take priority",,
20100423_1_12_1_2,as it could attract capital inflows,0,0
20100423_1_10_1_1,"As the priority in major advanced economies is to put in place sound medium-term fiscal programs , tightening monetary policies prematurely ,",,
20100423_1_6_1_1,"Hence , plans for fiscal consolidation should generally take priority , all else given",0,0
20100423_1_9_1_2,even while central banks begin to withdraw the emergency support provided to banks and financial markets,0,0
20100423_1_13_1_2,where further reserve accumulation or exchange rate appreciation are not warranted,0,0
20100423_1_15_1_3,while both political considerations and implementation lags may limit the scope for fiscal consolidation .,0,0
20100423_1_5_1_1,"Furthermore , fiscal policy adjustment typically has a long lead time relative to monetary policy",0,0
20100423_1_4_1_1,"in the current juncture , inflationary pressures appear well contained",-9,-9
20100423_1_10_1_2,"as fiscal support is phased out , could undercut global recovery",0,0
20100423_1_15_1_2,"interest rates is not an attractive option ,",,
20140917_1_7_1_1,"Specifically : In the United States , the main challenge is to reach the appropriate speed of monetary policy normalization ,",0,1
20140917_1_24_1_3,even if at a slower pace,0,0
20140917_1_7_1_2,which is made difficult by uncertainties about the cyclical position and monetary transmission,0,0
20140917_1_10_1_4,"run ahead of productivity growth or slack is absorbed , or Tightening could also be considered",-1,1
20140917_1_4_1_3,as output gaps shrink,0,0
20140917_1_5_1_1,"In contrast , monetary policy in the euro area and Japan is expected to remain more accommodative for an extended period",0,0
20140917_1_25_1_1,This strikes the right balance between demand support and debt reduction,0,0
20140917_1_13_1_1,"In case actual or expected inflation stagnate or growth disappoints , the Bank of Japan should act swiftly through further and/or longer-dated asset purchases",,
20140917_1_30_1_2,that external financial conditions both availability of capital flows and borrowing costs will eventually tighten,0,0
20140917_1_23_2_1,ratios are not already high,,
20140917_1_33_1_1,The appropriate course for policy to balance fostering growth and managing vulnerabilities will be country-specific,,
20140917_1_34_1_3,where their credibility has come into question,0,0
20140917_1_34_1_1,Countries should continue to rebuild monetary and fiscal policy space,0,0
20140917_1_6_1_1,"As some start exiting UMP , well-calibrated communication and cooperation will be key to avoid or manage bouts of financial market volatility",,
20140917_1_11_1_1,"In Japan , monetary policy has helped lift inflation and inflation expectations towards the 2-percent target",-9,-9
20140917_1_26_1_1,"Nevertheless , Germany ,",-9,-9
20140917_1_41_1_1,Sustainably lowering inflation will also require further increases in the policy rate and a simpler monetary framework with clear objectives and operational autonomy for the RBI .,0,0
20140917_1_18_1_2,"as needed , are essential to limit financial risks",0,0
20140917_1_26_1_2,"which has completed its fiscal consolidation , could afford to finance much-needed public investment in infrastructure , without violating fiscal rules",-9,-9
20140917_1_24_1_2,"although a number of countries are still tightening ,",0,0
20140917_1_1_1_1,"While monetary policy should continue supporting the recovery , challenges are increasingly different across countries",0,0
20140917_1_9_1_1,"However , the timing of the increase in policy rates may have to be adjusted in function of developments on the inflation and unemployment fronts",0,1
20140917_1_23_1_1,"At the same time , the design of fiscal policy should better support the long-run growth potential of the economy , including by enhancing infrastructure investment , provided",,
20140917_1_10_1_2,"while m onetary policy should stay accommodative for now , it might , however , have to be tightened quickly",-9,-9
20140917_1_17_1_2,after more than five years of exceptionally low rates see annex,,
20140917_1_18_1_1,"Completing the reform of financial regulation and deploying macro-prudential tools as a first line of defense ,",,
20140917_1_19_1_1,This will also reduce the risk of premature monetary policy tightening not warranted by the cyclical position,-9,-9
20140917_1_22_1_1,"Fiscal consolidation should continue to proceed gradually , anchored in credible medium-term plans ,",-9,-9
20140917_1_20_1_2,the consequences of liquidity squeezes if volatility spikes,0,0
20140917_1_37_1_1,"With inflation still elevated , monetary tightening may have to be stepped up",-1,1
20140917_1_4_1_2,"where the recovery is stronger , the challenge is to manage exit from exceptionally accommodative monetary policies",,
20140917_1_21_1_1,The pace and composition of fiscal adjustment should be attuned to supporting both the recovery and long-term growth,,
20140917_1_28_1_2,"if deflation risks materialize and monetary policy options are depleted , the escape clauses in the fiscal framework may need to be used to respond in these circumstances",,
20140917_1_4_1_1,"In the United States and the United Kingdom ,",,
20140917_1_17_1_1,"Excessive risk-taking may be building in some sectors United States corporate credit and insurance markets , housing price booms in a number of smaller advanced economies",,
20140917_1_12_1_1,"that the current aggressive pace of monetary easing may need to be maintained for an extended period , providing more information about asset purchases beyond end-2014 could further enhance transparency",,
20140917_1_31_1_1,"When risk sentiment changes , having stronger macroeconomic fundamentals as well as the policy space and credibility to react have proven to be critical to reduce volatility and negative spillovers see Annex",0,0
20140917_1_27_1_1,"Large negative growth surprises in euro area countries should not trigger additional consolidation efforts ,",0,0
20140917_1_5_1_2,as they fight low inflation euro area or try to persistently raise inflation and inflation expectations Japan,0,0
20140917_1_38_1_1,"In India , more efforts are needed to continue reducing stubbornly high inflation and the large fiscal deficit",0,0
20140917_1_3_1_1,"However , given the unevenness of the recovery across economies , challenges faced by central banks are different",0,0
20140917_1_32_1_1,"Exchange rate flexibility , alongside credible macroeconomic policies and frameworks , has also proven to be an essential tool in coping with volatile capital flows",0,0
20140917_1_30_1_1,The strengthening of activity in advanced economies and looming normalization of monetary policy in some implies,0,0
20140917_1_24_1_1,"Specifically : In the euro area , the overall fiscal stance is broadly neutral ,",-9,-9
20140917_1_28_1_1,"Moreover ,",,
20140917_1_27_1_2,which would be self-defeating,0,0
20140917_1_16_1_1,Financial stability risks related to a prolonged period of low interest rates bring macro - prudential policies to the forefront,,
20140917_1_29_1_1,The focus of macroeconomic policies should remain on addressing vulnerabilities and rebuilding policy buffers,0,0
20140917_1_36_1_2,while continuing to wind down policy lending is important to put gross public debt on a firmly downward path and boost market confidence,0,0
20140917_1_40_1_1,"The government should articulate structural measures to underpin the consolidation path , including subsidy reform and progress on the Goods and Services Tax",0,0
20140917_1_14_1_2,in order to further enhance the monetary policy transmission,0,0
20140917_1_22_1_2,"which are still lacking in some countries notably , in Japan and the United States",-9,-9
20140917_1_23_1_2,"that infrastructure needs have been identified , there is slack in the economy , monetary policy is accommodative , investment processes are relatively efficient ,",,
20140917_1_20_1_1,"It will also make systemic institutions more resilient , help contain pro-cyclical asset price and credit dynamics , and cushion",,
20140917_1_35_1_1,"Specifically : In Brazil , slowing economic conditions will make it difficult to achieve the original budget targets for 2014",0,0
20140917_1_34_1_2,where it is limited considering possible tradeoffs between building buffers and slowing growth and strengthen policy frameworks,0,0
20140917_1_15_1_1,"Finally , communication should focus on the overarching goal of achieving the inflation target in a stable manner through a more transparent presentation of the BoJ 's forecast and underlying assumptions",0,0
20140917_1_39_1_1,"While the new government 's emphasis on continued fiscal consolidation is welcome , the quality and durability of the consolidation remain of concern",-9,-9
20140917_1_10_1_3,if costs,,
20140917_1_2_1_1,"With output gaps still large , and inflation running below target , accommodative monetary conditions remain essential for advanced economies , including in the United States , to avoid cyclical impediments to growth from becoming structural",1,1
20140917_1_37_1_2,should inflation expectations worsen,0,0
20140917_1_14_1_1,There is also room to expand the Loan Support Program,0,0
20140917_1_8_1_1,"Current plans to end tapering later this year and increase policy rates from the middle of next year appear appropriate , given the sizable slack",-1,1
20140917_1_10_1_5,if macroprudential tools prove insufficient to deal with financial stability risks with due consideration to the tradeoffs involved the real economy,0,0
20140917_1_36_1_1,"Nevertheless , working towards meeting the official primary surplus target with sustainable policies",0,0
20140917_1_10_1_1,The United Kingdom faces similar challenges :,0,0
20110218_1_5_1_1,"With inflationary expectations well anchored , accommodative monetary policy in major advanced economies remains appropriate for now",0,1
20110218_1_7_1_1,"monetary policy accommodation is thus the right policy from a domestic perspective , considering also",1,1
20110218_1_3_1_1,"This would help reduce the burden on monetary and fiscal policy to support the recovery , and minimize the real consequences of deleveraging",0,0
20110218_1_8_1_2,that quantitative easing in the United States could result in a flood of capital,0,0
20110218_1_2_1_1,"Concern about asset values and risky exposures should be addressed by forcing banks to build capital buffers ,",0,0
20110218_1_7_1_2,that the recovery is expected to remain sluggish going forward,0,0
20110218_1_9_1_1,In economies,,
20110218_1_6_1_1,"High unemployment and large output gaps are keeping wages and inflation expectations in the major advanced economies in check , notwithstanding large increases in food and energy prices",0,0
20110218_1_4_1_1,"In this context , the new round of EU-wide stress test should be transparent , sufficiently stringent , and accompanied by contingent plans for quick recapitalization or resolution of banks to reassure markets",,
20110218_1_2_1_2,while unviable business models need to be unwound,0,0
20110218_1_10_1_1,"Central banks should continue to stand ready to address liquidity problems in the banking sector , particularly in the euro area .",-9,-9
20110218_1_1_1_1,Repair and reform of financial systems critical to the normalization of credit conditions in several countries and to prevent contagion needs to be accelerated,0,0
20110218_1_9_1_2,"where recovery is already well established , policymakers will need to pay increasing attention to building inflationary pressure",,
20110218_1_8_1_1,"From an external perspective , however , there is concern",0,0
20100604_1_2_1_2,demand pressures may be preferable,0,0
20100604_1_2_1_3,if tighter monetary conditions risk exacerbating pressures from capital inflows,0,0
20100604_1_1_1_2,economies can start tightening policies now,-1,1
20100604_1_2_1_1,"For some countries , using fiscal policy to contain",0,0
20100604_1_1_1_1,Fast-growing advanced and emerging,,
20100604_1_3_1_1,"Elsewhere , however , in some other countries",0,0
20100604_1_3_1_2,"where debt levels are relatively low , monetary tightening and exchange rate adjustment would be more appropriate than fiscal tightening .",-1,1
20130418_1_13_1_1,Financial policies need to secure stability and support recovery,0,0
20130418_1_14_1_1,The reform agenda is unfinished and needs to be reinvigorated to strengthen the global financial system,0,0
20130418_1_10_1_1,"Central bank purchases of assets , long-term refinancing operations , and other interventions in financial markets are helping to reduce funding costs and strengthen confidence ,",,
20130418_1_21_1_2,which will boost credit and thus reduce its effectiveness,0,0
20130418_1_17_1_4,that can deter the willingness to lend,0,0
20130418_1_12_1_1,Central banks must decide,0,0
20130418_1_10_2_1,"there may be worsening tradeoffs , including credit misallocation",,
20130418_1_12_1_2,"what more , if anything , to do and prepare for an eventual exit from unconventional monetary policies",0,1
20130418_1_23_1_1,These economies should also consider greater emphasis on fiscal tightening .,0,0
20130418_1_4_1_2,"than warranted , given the massive purchases by various central banks of government paper since 2008",0,0
20130418_1_17_1_3,that can be a source of regulatory uncertainty,0,0
20130418_1_9_1_2,are welcome,,
20130418_1_7_2_1,monetary transmission may be hindered by the state of the financial sector,,
20130418_1_7_1_1,"Minimal room remains to lower policy rates in key advanced economies , except the euro area ,",,
20130418_1_9_2_2,that benefits Japan and other economies,0,0
20130418_1_17_1_1,"Like fiscal policy , the pace of financial reform to safeguard stability such as higher capital and liquidity buffers should be carefully calibrated to support bank lending and real growth ,",0,0
20130418_1_1_1_1,Comprehensive and ambitious consolidation plans and entitlement reform are instrumental given tradeoffs facing fiscal policy,0,0
20130418_1_22_1_1,"Economies with external surpluses should provide room for monetary tightening by allowing currencies to appreciate ,",0,0
20130418_1_8_1_1,"Better central bank communications may help bring down real interest rates and provide added support to demand , including by reassuring markets against premature tightening",0,0
20130418_1_2_1_1,"In the United States , agreement on a credible fiscal roadmap could help create some short-term policy space , mitigate risks of excessive near-term consolidation , and ease the burden currently placed on monetary policy",,
20130418_1_18_1_1,Consistent implementation and international cooperation is also critical for a level playing field and reducing fragmentation,0,0
20130418_1_11_1_1,Policymakers should employ appropriate macro - and micro-prudential tools to mitigate such outcomes,,
20130418_1_3_1_2,that stabilizes and reduces debt even more urgent,0,0
20130418_1_15_1_1,"Further action is needed to recapitalize , restructure , or resolve weak banks and improve the flow of credit to the economy , particularly in Europe",0,0
20130418_1_5_1_1,It will create greater scope to pursue supportive monetary policy without triggering concern about central bank independence or a resurgence of inflation,0,0
20130418_1_9_1_1,Japan 's newly announced easing measures to achieve a new 2 percent inflation target within 2 years,,
20130418_1_3_1_1,"In Japan , the recent fiscal stimulus makes developing a credible fiscal plan",0,0
20130418_1_22_1_2,while economies with external deficits may need to consider tightening macroprudential measures or using capital flow management measures in conjunction with monetary tightening,0,0
20130418_1_19_1_1,Capital inflows may require adjustments to the policy mix,0,0
20130418_1_16_1_1,This would help pass - through of monetary accommodation,,
20130418_1_20_1_1,Policymakers must remain alert to overheating risks as well as rising domestic financial vulnerabilities,0,0
20130418_1_9_2_1,they need to be accompanied by ambitious growth and fiscal strategies to reduce risks and ensure sustained recovery,,
20130418_1_17_1_2,while avoiding unnecessary delays,0,0
