,sentence,fiscal_stance,fiscal_analysis,economic_condition,monetary_policy,other_policies,risk
298,country fiscal room automatic stabilizer be allow play,1,0,0,0,0,0
299,stabilizer be small temporary support such extended unemployment benefit wage subsidy be continue,1,0,0,0,0,0
300,sustain recovery country consolidation plan have be postpone,1,0,0,0,0,0
301,policymaker need specify further measure begin deliver ambitious credible growth-friendly medium-term consolidation plan key advanced economy,1,0,0,0,0,0
302,plan emphasize policy measure reform grow spending program pension public health care2 make permanent reduction non-entitlement spending view improve medium-term condition labor supply investment,1,0,0,0,0,0
303,moderate adjustment such increase retirement age entail affect demand short-run,0,1,0,0,0,0
304,strengthen fiscal institution such improve budgetary process better fiscal monitoring EU improve governance framework play important role consolidation,0,1,0,0,0,0
305,policy need accelerate rebalancing demand public private source advanced economy external deficit surplus economy,0,0,0,0,1,0
306,timing pace sequence exit supportive policy vary country depend robust recovery private demand financial condition,0,0,0,0,1,0
307,most G-20 advance economy public debt sustainability require exit crisis-induced policy broader adjustment improve net debt level,1,0,0,0,0,0
308,reflect market concern vulnerable economy have front-loaded fiscal adjustment,0,1,0,0,0,0
309,be increase divergence monetary policy stance advanced emerge economy reflect macroeconomic development financial sector support have be extend european country,0,0,0,1,0,0
310,timing pace fiscal consolidation vary G-20 dictate differ country circumstance,0,1,0,0,0,0
311,country have come market pressure face greatest fiscal challenges/lacking fiscal room have start consolidate announce further front-loading see,0,1,0,0,0,0
312,country strong signal see adjustment difficult be critical prevent adverse market reaction force additional front-loaded adjustment,0,1,0,0,0,0
313,most other advanced g-20 economy start tighten,1,0,0,0,0,0
314,average adjustment implicit current plan appear appropriate,0,1,0,0,0,0
315,many advanced economy financial sector remain Achilles heel recovery prospects private demand,0,0,0,0,1,0
316,insufficient progress repair reform be weigh credit slow normalization monetary fiscal policy adverse spillover emerge economy,0,1,0,0,0,0
317,accelerate financial sector restructuring reform be top priority,1,0,0,0,0,0
318,Government budgetary policy be process move short-term stimulus medium-term consolidation,0,1,0,0,0,0
319,fiscal policy need deliver measure lower deficit medium term,1,0,0,0,0,0
320,be need halt reverse large rise public debt ratio help create room policy maneuver support private demand,0,1,0,0,0,0
321,fiscal adjustment need be support structural reform,0,0,0,0,1,0
322,collaborative policy support rebalancing global demand be crucial secure strong sustainable balanced growth,0,0,0,0,1,0
323,Monetary policy remain first line defense line be become thin most advanced economy,0,0,0,1,0,0
324,vulnerable country automatic stabilizer be allow operate stabilizer be small temporary support such extended unemployment benefit wage subsidy be continue,1,0,0,0,0,0
325,medium-term consolidation plan emphasize policy measure reform grow spending program such pension public health care make permanent reduction non-entitlement spending view improve labor supply investment,1,0,0,0,0,0
326,moderate adjustment current policy such increase retirement age entail effect demand short-run have large beneficial effect fiscal sustainability,0,1,0,0,0,0
327,strengthen fiscal institution improve budgetary process better fiscal monitoring EU improve governance framework play important role consolidation,0,1,0,0,0,0
328,credible mediumterm consolidation advanced economy allow fiscal room alleviate need accommodative monetary policy reduce large unstable flow emerge economy,0,1,0,0,0,0
329,advanced economy key policy priority financial sector reform credible medium-term fiscal consolidation be central catalyze pickup private demand,0,1,0,0,0,0
330,external rebalancing require reform aim boost domestic demand emerge surplus economy greater exchange rate flexibility,0,0,0,0,1,0
331,fiscal policy address medium-term requirement enable debt sustainability,1,0,0,0,0,0
332,key priority be policymaker further specify begin implement medium-term consolidation plan help achieve sustainable fiscal position,1,0,0,0,0,0
333,successful fiscal adjustment require medium-term consolidation plan be accompany structural reform raise trend level growth support long-term fiscal solvency,0,1,0,0,0,0
334,fiscal consolidation advanced economy begin,1,0,0,0,0,0
335,type speed adjustment reflect different circumstance different country term pace recovery risk fiscal credibility,0,1,0,0,0,0
336,whole country consolidation plan strike appropriate balance make credible start strengthen public finances continue support recovery,0,1,0,0,0,0
337,growth risk slow more expect,0,0,1,0,0,0
338,plan consolidation be slow postpone country more fiscal room,1,0,0,0,0,0
339,fiscal consolidation be essential part internal rebalancing,0,0,0,0,1,0
340,many case broad measure be dependent pace durability economic recovery,0,0,0,0,1,0
341,consolidation plan lack sufficient specificity anchor credibility,0,1,0,0,0,0
342,large oil-exporting economy have commit consolidation budget retain emphasis public investment,0,1,0,0,0,0
343,economy increase non-oil infrastructure spending be aim relieve supply bottleneck sustain growth less dependence oil price,0,0,0,0,1,0
344,progress central policy challenge be formulate clear credible ambitious medium-term plan,1,0,0,0,0,0
345,medium-term plan need be underpin specific commitment critical area include entitlement tax reform be supportive growth,1,0,0,0,0,0
346,stronger governance budgetary institution many case strengthen such effort need be sustain,0,1,0,0,0,0
347,map framework long-term fiscal plan restore sustainability public finances be require rebuild policy space address long-run budgetary pressure,1,0,0,0,0,0
348,reach G-20 fiscal objective specify Toronto fiscal effort be need country,1,0,0,0,0,0
349,real GDP growth consistent G-20 baseline be lower assume individual member submission case,0,0,1,0,0,0
350,result higher fiscal deficit unchanged policy,0,1,0,0,0,0
351,Toronto Summit G-20 Leaders advanced economy agree halve fiscal deficit stabilize reduce public debt,0,1,0,0,0,0
352,order halve fiscal deficit add fiscal effort be require text table,1,0,0,0,0,0
353,ambitious implementation Toronto Declaration be assume base stabilize net gross debt ratio,0,1,0,0,0,0
354,further fiscal consolidation advanced economy be consider second layer help restore soundness public finances,0,1,0,0,0,0
355,magnitude additional fiscal effort be base path fiscal balance be consistent growth revise G-20 baseline see Box .2,0,1,0,0,0,0
356,improvement fiscal balance be assume be sustain reduce public debt,0,1,0,0,0,0
357,fiscal adjustment follow key dimension be consider,0,1,0,0,0,0
358,g-20 fiscal policy appear track meet Toronto commitment,0,1,0,0,0,0
359,medium-term consolidation plan country rely optimistic growth assumption,0,0,1,0,0,0
360,few country have articulate credible plan underpin specific measure key area,0,1,0,0,0,0
361,respond severe market pressure year concern sovereign risk advanced deficit economy have announce bring fiscal consolidation plan,0,1,0,0,0,0
362,plan differ country magnitude pace adjustment reflect strength economic recovery amount fiscal space reaction market strength public balance sheet,0,1,0,0,0,0
363,many case consolidation plan be accompany measure increase transparency budget process,0,1,0,0,0,0
364,many advanced surplus economy have announce consolidation plan,0,1,0,0,0,0
365,degree specificity identify measure vary,0,1,0,0,0,0
366,many country fiscal consolidation medium-term be be achieve entitlement tax system reform pay-go principle,0,1,0,0,0,0
367,case new measure bolster credibility public finances have be establish plan include mechanism identify risk federal state budget reform fiscal framework,0,1,0,0,0,0
368,emerge deficit economy have begin fiscal tightening announce medium-term consolidation plan,0,1,0,0,0,0
369,Cooperative well-timed policy initiative reduce vulnerability rebalance growth be need sustain global recovery,0,0,0,0,1,0
370,announce tax cut United States be project have modest impact growth outcome have large budgetary cost,0,1,0,0,0,0
371,have become important articulate credible fiscal consolidation plan include entitlement reform cap discretionary spending higher revenue reform tax system establishment strengthening fiscal institution,1,0,0,0,0,0
372,plan build constructive idea Fiscal Commission other,0,1,0,0,0,0
373,successful fiscal adjustment require medium-term consolidation plan be accompany structural reform increase competitiveness euro area Japan,0,1,0,0,0,0
374,policy raise potential growth help support fiscal solvency long term,0,1,0,0,0,0
375,reform be need area labor product service market such facilitate greater competition lower markup lower hiring cost reduce long-term unemployment facilitate re-entry encourage job search match mobility eliminate dual labor market,0,0,0,0,1,0
376,advanced economy urgent task be alleviate financial stress euro area develop credible fiscal consolidation plan boost job creation accelerate financial reform,1,0,0,0,0,0
377,key policy challenge emerge economy be keep overheate pressure check respond capital inflow,0,0,0,0,1,0
378,key surplus economy overheate pressure be alleviate permit currency appreciation facilitate healthy rebalancing external internal demand,0,0,0,0,1,0
379,Greater commitment be need ensure fiscal policy restore mediumterm debt sustainability advanced economy,0,1,0,0,0,0
380,vulnerability sovereign emphasize urgency formulate credible medium-term fiscal consolidation plan country euro periphery other advanced economy,0,1,0,0,0,0
381,near term solidify recovery diminish deflationary risk many large advanced economy create room current fiscal consolidation plan be accelerate,0,1,0,0,0,0
382,give recent stimulus measure United States Japan need strengthen adjustment credentials specify measure intend adopt honor commitment reduce deficit debt,1,0,0,0,0,0
383,advanced economy come renew market pressure underscore commitment deficit target set contingency plan ensure adjustment goal be meet,1,0,0,0,0,0
384,substantial fiscal consolidation many advanced economy be pipeline,0,1,0,0,0,0
385,clear credible medium-term fiscal consolidation framework need be place possible United States crisis have worsen debt dynamics top long-term pressure entitlement spending,1,0,0,0,0,0
386,revenue measure economy adjustment need be large revenue ratio be low,0,0,0,0,1,0
387,Raising revenue widen tax basis remove distortion raise tax rate be part adjustment package economy,1,0,0,0,0,0
388,many country elimination tax expenditure contribute objective,0,1,0,0,0,0
389,develop good fiscal institution provide accurate timely monitoring fiscal outturn better coordination level government mediumterm orientation fiscal policy making include establish strengthen fiscal rule,0,0,0,0,1,0
390,medium-term fiscal adjustment need emerge economy be smaller,0,1,0,0,0,0
391,deficit most advanced economy remain level stabilize reduce debt ratio,0,1,0,0,0,0
392,particular reduce debt ratio precrisis median percent GDP net debt percent Japan average project adjustment percent gdp amount less half need,0,1,0,0,0,0
393,key principle underlie fiscal consolidation plan vary country include flexible response macroeconomic condition,0,1,0,0,0,0
394,advanced economy additional revenue faster-than-anticipated growth be save,0,1,0,0,0,0
395,emerge economy use revenue buoyancy related high asset commodity price favorable economic condition rebuild fiscal buffer increase spending near term,0,1,0,0,0,0
396,deep entitlement reform advanced economy health care policymaker have balance need ensure access requirement maintain sustainability public finances,0,1,0,0,0,0
397,emerge economy challenge be improve coverage health safety net preserve long-term fiscal sustainability health indicator be lower advanced country,0,1,0,0,0,0
398,fiscal policy resolve Sovereign Crisis,0,0,0,0,0,1
399,adopt credible mediumterm framework,1,0,0,0,0,0
400,long-term solution problem peripheral euro area economy require range measure,0,0,0,0,1,0
401,addition structural policy temporary financial assistance front-loaded fiscal adjustment be need restore market confidence ease pressure sovereign bank spread,1,0,0,0,0,0
402,weak growth outlook Greece Portugal imply presence financing constraint need fiscal adjustment measure agree ec-imf program economy,0,1,0,0,0,0
403,Europe whole further policy measure be need address weakness national budgetary institution procedure have undermine past effort enforce stability growth Pact such lack transparency medium-term orientation optimistic bias national official forecast,0,1,0,0,0,0
404,reform overhaul EU governance have be propose,0,1,0,0,0,0
405,need be legislate implement,0,0,0,0,1,0
406,address fiscal situation United States Japan require balance short-run growth fragility long-term sustainability concern,0,1,0,0,0,0
407,authority implement credible medium-term fiscal adjustment plan include entitlement revenue-raising tax reform,1,0,0,0,0,0
408,United States be critical raise debt ceiling,1,0,0,0,0,0
409,credible medium-term fiscal plan create space provide further support fledgling recovery calibrate pace fiscal adjustment near term anchor investor confidence,0,1,0,0,0,0
410,economy face adverse private funding condition such imfand eu-supported program have little choice press current consolidation plan,0,1,0,0,0,0
411,need be support rapid implementation structural reform raise growth enhance debt sustainability fiscal repair achieve sustainable balance support growth,0,0,0,0,1,0
412,Advanced G-20 economy articulate credible medium-term fiscal consolidation plan specific measure embed realistic macroeconomic framework,1,0,0,0,0,0
413,create policy space nearterm support growth employment need,0,0,0,0,1,0
414,event further significant slowdown growth number economy have scope slow current pace consolidation offset commitment additional tightening,0,1,0,0,0,0
415,United States proposed american Jobs Act provide needed near-term support,0,1,0,0,0,0
416,parallel credible medium-term fiscal adjustment plan raise revenue contain growth entitlement spending remain essential,1,0,0,0,0,0
417,Japan near-term fiscal stance be appropriate give need rebuild earthquake,0,1,0,0,0,0
418,comprehensive ambitious plan put public debt sustainable footing medium term remain essential,1,0,0,0,0,0
419,most other advanced g-20 economy example Australia Canada Germany Korea United Kingdom current plan be appropriate,0,1,0,0,0,0
420,near-term tightening slow growth threaten be lower project compensate stronger medium-term adjustment,1,0,0,0,0,0
421,fiscal consolidation continue many euro area economy,1,0,0,0,0,0
422,be structure pace avoid collapse demand growth,1,0,0,0,0,0
423,United States Japan policymaker redouble effort formulate implement credible medium-term consolidation plan,1,0,0,0,0,0
424,measure include entitlement reform include new health care pension saving measure cap discretionary spending tax system reform boost fiscal revenue,1,0,0,0,0,0
425,put place such plan reinforce policy room support balance sheet repair growth job creation period heighten vulnerability,0,1,0,0,0,0
426,United States be risk political paralysis lead rapid pace deficit reduction include early expiry exist stimulus measure such payroll tax cut,0,1,0,0,0,0
427,such development undermine weak recovery,0,0,1,0,0,0
428,sufficient near-term fiscal adjustment be train most economy,0,1,0,0,0,0
429,country allow automatic stabilizer operate provide secure funding higher deficit,1,0,0,0,0,0
430,face low funding cost consider slower pace consolidation,1,0,0,0,0,0
431,overdo fiscal adjustment short run counter cyclical revenue loss undercut activity diminish popular support adjustment undermine market confidence,0,1,0,0,0,0
432,country policy space consider slow structural fiscal adjustment maintain commitment credible medium-term consolidation plan,1,0,0,0,0,0
433,other G-20 advance economy remain urgent priority set credible path fiscal consolidation medium term,1,0,0,0,0,0
434,near term sufficient fiscal adjustment be plan most advanced economy,0,1,0,0,0,0
435,Automatic stabilizer be allow operate,1,0,0,0,0,0
436,economy afford do pace near-term fiscal consolidation slow,1,0,0,0,0,0
437,medium-term risk sustainability remain unaddressed,0,0,0,0,0,1
438,fiscal consolidation structure pace avoid collapse demand ensure debt sustainability continue many euro area country lay credible medium-term adjustment plan remain urgent priority key advanced economy,1,0,0,0,0,0
439,depend circumstance measure include entitlement reform include new health care pension saving measure tax system reform boost fiscal revenue,0,1,0,0,0,0
440,measure create policy room support balance sheet repair growth job creation period heighten vulnerability,0,1,0,0,0,0
441,term,0,0,0,0,1,0
442,sufficient near-term fiscal adjustment have begin most advanced economy include euro area,0,1,0,0,0,0
443,Automatic stabilizer be allow operate provide funding higher deficit be secure,1,0,0,0,0,0
444,overdo fiscal adjustment short run undermine activity diminish popular support adjustment threaten market confidence,0,1,0,0,0,0
445,country fiscal space low funding cost consider slow fiscal adjustment maintain commitment credible medium-term consolidation plan,1,0,0,0,0,0
446,Euro area member benefit financial assistance program stick agree consolidation effort implement require structural reform,1,0,0,0,0,0
447,medium term,0,0,0,0,1,0
448,policymaker increase effort formulate implement credible consolidation plan United States Japan,1,0,0,0,0,0
449,fiscal consolidation be gradual sustained,1,0,0,0,0,0
450,market view major disruption associate issue tail risk uncertainty be resolve be weigh demand,0,0,0,0,0,1
451,last minute deal rely suboptimal fix kick road ‖ prove harmful,0,0,0,0,1,0
452,contrary expectation resolution be find confidence United States policymaker erode have large domestic international ramification,0,0,0,0,1,0
453,fiscal adjustment be anchor concrete ambitious medium-term consolidation plan,1,0,0,0,0,0
454,moment United States lack agreement plan,0,1,0,0,0,0
455,Japan plan need be strengthen recent welcome approval timetable double consumption tax rate,1,0,0,0,0,0
456,adjustment be require expenditure revenue side ledger,1,0,0,0,0,0
457,be important move reduce growth aging-related expenditure,1,0,0,0,0,0
458,measure have be enact Europe reduce retirement cost more be do advanced economy lower health-related spending,1,0,0,0,0,0
459,robust fiscal framework support credibility adjustment plan,1,0,0,0,0,0
460,considerable adjustment have occur,0,1,0,0,0,0
461,many advanced economy have long way go,0,0,0,0,1,0
462,average advanced economy ratio cyclically-adjusted general government balance potential gdp be project improve percent potential gdp percent,0,0,1,0,0,0
463,emerge economy group substantial consolidation be envisage year next,0,1,0,0,0,0
464,be essential calibrate pace adjustment state economy funding pressure mind,1,0,0,0,0,0
465,amount plan fiscal consolidation advanced economy appear sizable near term consistent high debt slight increase economic growth project WEO significant difference country,0,1,0,0,0,0
466,financial condition permit automatic stabilizer be allow operate,1,0,0,0,0,0
467,fiscal target be specify cyclically-adjusted structural term,1,0,0,0,0,0
468,case large negative shock growth disappointment pace consolidation be smooth country afford,1,0,0,0,0,0
469,United States authority act early avoid fiscal cliff raise debt ceiling,1,0,0,0,0,0
470,fiscal consolidation need continue gradual sustained pace,1,0,0,0,0,0
471,progress make United States policymaker agree comprehensive plan include higher revenue contain entitlement spending,1,0,0,0,0,0
472,advanced economy growth public health care spending be unsustainable trajectory projection indicate increase net present value term close percent GDP,0,1,0,0,0,0
473,be important advanced economy move curtail rise age healthrelated spending ensure debt sustainability,1,0,0,0,0,0
474,fiscal adjustment most advanced economy be appropriate,0,1,0,0,0,0
475,fiscal target be pursue structural nominal term ensure negative growth surprise do trigger additional consolidation effort,1,0,0,0,0,0
476,euro area current fiscal framework provide sufficient flexibility be use,0,1,0,0,0,0
477,country face higher debt greater market pressure be adjust more advanced economy peer,0,1,0,0,0,0
478,event large negative shock growth disappointment current fiscal policy stance need be reassess country afford,1,0,0,0,0,0
479,policymaker need focus follow issue United States authority act early find durable solution raise debt ceiling avert automatic spending cut,1,0,0,0,0,0
480,resolution be find confidence United States policymaker erode large spillover rest world,0,0,0,0,1,0
481,fiscal adjustment be support adoption implementation concrete medium-term consolidation plan,1,0,0,0,0,0
482,recently-announced stimulus Japan make urgent,1,0,0,0,0,0
483,fiscal tightening continue pace preserve recovery,1,0,0,0,0,0
484,Progress medium-term fiscal reform help quell concern political pressure central bank keep interest rate longer warrant give massive purchase various central bank government paper,0,0,0,1,0,0
485,create greater scope pursue supportive monetary policy trigger concern central bank independence resurgence inflation,0,0,0,1,0,0
486,policy maker aim nurture short-term recovery have credible medium-term adjustment plan help anchor expectation gain flexibility,1,0,0,0,0,0
487,short-term adjustment be calibrate,1,0,0,0,0,0
488,advanced economy private demand have be disappointing consider smooth pace consolidation have room maneuver,1,0,0,0,0,0
489,United Kingdom example greater flexibility pace near-term fiscal consolidation be consider give weak recovery owe lackluster demand,1,0,0,0,0,0
490,growth surprise upside policymaker reduce headline deficit aim fiscal balance cyclically-adjusted structural term,1,0,0,0,0,0
491,Comprehensive ambitious consolidation plan entitlement reform be instrumental give tradeoff face fiscal policy,1,0,0,0,0,0
492,United States agreement credible fiscal roadmap help create short-term policy space mitigate risk excessive near-term consolidation ease burden place monetary policy,1,0,0,0,0,0
493,Japan recent fiscal stimulus make develop credible fiscal plan stabilize reduce debt urgent,1,0,0,0,0,0
494,advanced economy macroeconomic policy support growth,0,0,0,0,1,0
495,Japan expansionary fiscal stance year substantial consolidation be pipeline next year result two-step increase consumption tax rate percent wane stimulus reconstruction spending,0,1,0,0,0,0
496,near term gradual pace fiscal adjustment be preferable conditional have credible specific medium term consolidation plan place,1,0,0,0,0,0
497,United States budget sequester be replace balanced gradual pace fiscal consolidation short term efficient targeted spending cut,1,0,0,0,0,0
498,debt ceiling be raise,1,0,0,0,0,0
499,multi-year consolidation plan tackle entitlement tax reform be adopt restore long-run fiscal sustainability,1,0,0,0,0,0
500,Japan implementation plan consumption tax increase next year be critical maintain confidence ability government address fiscal problem,1,0,0,0,0,0
501,ambitious concrete consolidation plan base revenue spending be need,1,0,0,0,0,0
502,plan place fiscal space be create smooth fiscal adjustment growth disappoint,0,1,0,0,0,0
503,euro area extension EDP deadline assessment adjustment structural term be welcome,0,1,0,0,0,0
504,extra space be use act fiscal structural reform,0,1,0,0,0,0
505,consolidation be base efficient growth-friendly mix expenditure revenue measure support appropriate structural reform enhance potential growth,0,1,0,0,0,0
506,Spain need credible detailed medium-term plan,1,0,0,0,0,0
507,France need rebalance adjustment expenditure containment,1,0,0,0,0,0
508,support growth create job be main challenge major advanced economy,0,0,0,0,1,0
509,United Kingdom be important fiscal policy support nascent recovery pursue fiscal measure alleviate supply-side constraint provide support private demand context medium-term fiscal framework,1,0,0,0,0,0
510,speak monetary policy accommodation continue play supportive role give low inflation large output gap,0,0,0,1,0,0
511,fiscal adjustment be measure be anchor credible medium term roadmap sustainability,1,0,0,0,0,0
512,Financial sector reform need be complete,0,0,0,0,1,0
513,pace composition fiscal adjustment be calibrate avoid excessive drag growth be anchor credible concrete medium-term plan,1,0,0,0,0,0
514,sizable consolidation effort fiscal imbalance remain large advanced economy due weak growth unfavorable initial fiscal position respect sustainability,0,1,0,0,0,0
515,growth disappointment turn reflect negative effect fiscal adjustment shortterm growth fact country France Spain UK private demand have be pick public demand,0,0,1,0,0,0
516,Financial sector support measure burden fiscal account country,0,0,0,0,1,0
517,United States private demand have gain momentum year large fiscal consolidation be excessive light nascent recovery,0,1,0,0,0,0
518,policy ambition cooperation be need achieve G-20 shared objective strong sustainable balanced growth,0,0,0,0,1,0
519,particular implement measure pace fiscal tightening base consolidation mix be supportive medium-term growth include entitlement reform remain central,1,0,0,0,0,0
520,be anchor credible plan debt reduction United States Japan,1,0,0,0,0,0
521,economy market pressure achieve structural fiscal target allow automatic stabilizer play be key,1,0,0,0,0,0
522,euro area bank balance sheet repair remain essential restore confidence revive credit growth,0,0,0,0,1,0
523,policymaker make further progress banking union single Supervisory mechanism single resolution mechanism advance structural reform,0,0,0,0,1,0
524,additional unconventional monetary support target long term refinancing operation lower collateral haircut help reduce fragmentation restore monetary transmission,0,0,1,0,0,0
525,problem face global economy be complex joint action help,0,0,0,0,1,0
526,environment ongoing incomplete transition financial stability change growth dynamics concern slow growth high unemployment achieve better policy mix be important,0,0,0,0,1,0
527,heavy reliance unconventional monetary policy ump example have have overall positive effect have buy time need support other policy succeed,0,0,0,1,0,0
528,widespread financial fiscal structural impediment need be address bolster growth financial stability,0,0,0,0,1,0
529,advanced economy exceptional monetary accommodation include ump continue provide important support recovery potential side effect be monitor address need,0,0,0,1,0,0
530,clear communication central bank intention be vital help avoid new financial excess abrupt reversal capital flow,0,0,0,1,0,0
531,be scope better cooperation withdrawal ump wider central bank discussion exit plan,0,0,0,1,0,0
532,same time progress other front be crucial,0,0,0,0,1,0
533,fiscal consolidation continue gradual pace preserve long-term growth potential economy,1,0,0,0,0,0
534,be need put debt ratio downward path,1,0,0,0,0,0
535,recent fiscal stimulus package increase urgency concrete medium-term consolidation plan,1,0,0,0,0,0
536,implementation second stage consumption tax rate increase be great importance go,1,0,0,0,0,0
537,growth slow,0,0,1,0,0,0
538,fiscal measure be consider context credible consolidation strategy,1,0,0,0,0,0
539,euro area overall fiscal stance plan be neutral number country be tighten slower pace,0,1,0,0,0,0
540,be appropriate,0,0,0,0,1,0
541,low growth persist monetary policy option be deplete flexibility current fiscal framework need be use respond circumstance,1,0,0,0,0,0
542,further progress be need improve national fiscal governance context recent fiscal institution reform euro area,0,0,0,0,1,0
543,debt ratio start decline fiscal deficit remain high relative pre-crisis level be way go rebuild policy buffer bring debt ratio prudent level,0,1,0,0,0,0
544,fiscal consolidation continue gradual pace framework concrete medium-term plan Japan United States,1,0,0,0,0,0
545,same time past fiscal consolidation have be focus tax increase wage public investment cut exacerbate trend decline public capital stock,0,1,0,0,0,0
546,go design fiscal policy be careful support long-run growth potential economy include enhance infrastructure investment boost demand,1,0,0,0,0,0
547,consolidation rely balanced distribution spending cut revenue ratio be high,1,0,0,0,0,0
548,be scope raise revenue emphasis be broaden tax base,1,0,0,0,0,0
549,United States December budget agreement be encouraging example bipartisanship provide partial relief sequester,0,0,0,0,1,0
550,remain essential reduce uncertainty surround conduct fiscal policy raise debt limit durable manner adopt balanced comprehensive medium-term fiscal plan include entitlement tax reform put public debt downward path,0,0,0,0,0,1
551,Japan decision implement first phase consumption tax increase send strong signal government resolve tackle country fiscal imbalance,0,1,0,0,0,0
552,pace composition fiscal adjustment be attuned support recovery long-term growth,1,0,0,0,0,0
553,strike right balance demand support debt reduction,0,1,0,0,0,0
554,Germany have complete fiscal consolidation afford finance much-needed public investment infrastructure violate fiscal rule,0,1,0,0,0,0
555,large negative growth surprise euro area country trigger additional consolidation effort be self-defeating,1,0,0,0,0,0
556,deflation risk materialize monetary policy option be deplete escape clause fiscal framework need be use respond circumstance,1,0,0,0,0,0
557,Japan second stage consumption tax increase proceed uniform rate percent October,1,0,0,0,0,0
558,concern harm low-income household be address target subsidy reduce tax rate essential item,0,0,0,0,1,0
559,pace fiscal withdrawal be appropriate,0,1,0,0,0,0
560,concrete post-2015 fiscal consolidation plan remain need allow near-term flexibility respond downside risk,1,0,0,0,0,0
561,plan lower corporate tax rate have growth benefit require offset fiscal measure prevent further rise fiscal risk,0,1,0,0,0,0
562,fiscal consolidation continue proceed anchor credible medium-term plan be lack country Japan United States,1,0,0,0,0,0
563,same time design fiscal policy support long-run growth potential economy include enhance infrastructure investment provide infrastructure need have be identify be slack economy monetary policy be accommodative investment process be efficient debt-to-gdp ratio be high,1,0,0,0,0,0
564,United States reach agreement credible medium-term consolidation plan put debt downward trajectory be high priority,1,0,0,0,0,0
565,include step contain health care cost reform social security increase revenue,1,0,0,0,0,0
566,absence comprehensive agreement effort focus identify modest opportunity relax near term budget envelope pay future fiscal savings,0,0,0,0,1,0
567,particular frontloading infrastructure spending be good candidate give urgent need upgrade quality United States infrastructure,1,0,0,0,0,0
568,United States consider change budget procedure lessen fiscal policy uncertainty include reach bipartisan agreement clear simple medium-term fiscal objective automatic process raise debt ceiling agreement be reach broad budget parameter budget cycle annual spending level be agree two-year period,0,0,0,0,0,1
569,euro area overall fiscal stance be neutral number country be tighten slower pace,0,1,0,0,0,0
570,fiscal policy be growth friendly pace composition fiscal adjustment need attuned support recovery,1,0,0,0,0,0
571,fiscal consolidation proceed anchor credible medium-term plan be lack country Japan United States,1,0,0,0,0,0
572,same time design fiscal policy support growth include enhance infrastructure investment see Annex need have be identify be slack economy investment process be efficient example Germany United States,1,0,0,0,0,0
573,be economic slack monetary accommodation short-run demand effect be stronger boost output lead decline public-debt-to-gdp ratio,0,1,0,0,0,0
574,provide be space supportive fiscal stance help offset short-term adverse effect structural reform aggregate demand bring growth benefit,0,1,0,0,0,0
575,response negative growth surprise euro area flexibility fiscal governance framework be use possible avoid trigger additional consolidation effort,1,0,0,0,0,0
576,pace fiscal withdrawal be appropriate Japan,0,1,0,0,0,0
577,post-2015 consolidation plan remain need,1,0,0,0,0,0
578,Advanced economy maintain supportive policy give substantial output gap below-target inflation,0,0,0,0,1,0
579,be space supportive fiscal stance bring growth benefit structural reform help offset short-term adverse effect,0,1,0,0,0,0
580,euro area flexibility fiscal governance framework be use support key structural reform public investment,0,0,0,0,1,0
581,credible medium-term consolidation plan remain need Japan United States,1,0,0,0,0,0
582,fiscal policy be growth friendly include increase infrastructure investment,1,0,0,0,0,0
583,many emerge market economy macroeconomic policy space support growth remain limited lower oil price alleviate inflationary pressure allow gradual tightening monetary policy,0,0,0,0,1,0
584,oil exporter need adjust fiscal stance depend scope savings past higher price oil exchange rate regime,0,1,0,0,0,0
585,country less policy space exchange rate flexibility be critical buffer shock,0,0,0,0,1,0
586,lower oil price offer opportunity reform energy subsidy tax oil exporter importer,0,0,0,0,1,0
587,be urgent need structural reform raise potential output advanced emerge economy,0,0,0,0,1,0
588,fiscal policy be growth friendly,1,0,0,0,0,0
589,pace composition fiscal consolidation be design support recovery long-term growth include enhance infrastructure investment economy identify need output gap efficient investment process example Germany United States,1,0,0,0,0,0
590,Policy priority have take more urgency compare February G-20 Surveillance note,0,0,0,0,1,0
591,fiscal consolidation remain growth friendly be anchor credible medium term plan,1,0,0,0,0,0
592,United States priority remain agree medium-term fiscal consolidation plan include higher tax revenue,1,0,0,0,0,0
593,euro area country adhere commitment stability growth Pact SGP,1,0,0,0,0,0
594,fiscal space Germany do more encourage growth undertake much-needed public infrastructure investment support structural reform,1,0,0,0,0,0
595,fiscal rebalancing include lower marginal tax labor capital finance cut unproductive spending base-broadening measure,0,1,0,0,0,0
596,Japan credible medium-term strategy fiscal adjustment specific measure be need give high public debt ratio,1,0,0,0,0,0
597,raise actual potential growth remain key objective,0,0,0,0,1,0
598,advanced economy accommodative monetary policy remain essential,0,0,0,1,0,0
599,fiscal policy be growth friendly include increase infrastructure investment,1,0,0,0,0,0
600,many emerge economy macroeconomic policy space support growth be limited inflation target economy fiscal position weaker desirable other,0,0,0,0,1,0
601,structural reform be need raise potential output advanced emerge economy,0,0,0,0,1,0
602,Joint effort deficit surplus economy rebalance global demand reduce excess external imbalance sustain growth,0,0,0,0,1,0
603,fiscal policy be growth friendly,1,0,0,0,0,0
604,manage high public debt low-growth low-inflation environment remain key challenge many economy,0,1,0,0,0,0
605,secure strong durable recovery policy need decisive upgrade,0,0,0,0,1,0
