index,sentence,subsentence_detail,score_detail,fiscal_stance,fiscal_analysis,economic_condition,monetary_policy,other_policies,risk,no_topic,fiscal_stance_dum
20140604_1_2,"We will present ambitious and comprehensive growth strategies at the GSummit in Brisbane, to include action across a broad front including in the areas of investment, small and medium enterprises, employment and participation of women, and trade and innovation, in addition to macroeconomic policies","└── include 0.5 0.0 other_policies//
    └── area 0.0 0.5 fiscal_stance//
        ├── employment 0.0 0.0 fiscal_analysis//
        │   └── participation 0 0.0 //
        └── trade 0.0 0.0 //
            ├── innovation 0 0.0 fiscal_analysis//
            └── policy 0 0.0 other_policies//
","{'degree': [('small', 0.5)], 'polarity': [('investment', 1)]}",0.0,0.0,0,0.0,0.5,0,0,1.0
20090708_1_10,"We will take the lead in accelerating the transition towards a low-carbon economy based on green, sustainable growth, reflecting the need to lower dependence on traditional energy sources","└── take 0.0 0.0 other_policies
    └── accelerate 0.0 0.0 other_policies//
        └── growth 0 0.0 other_policies//
","{'degree': [], 'polarity': [('accelerate', 1), ('sustainable', -1)]}",0.0,0.0,0,0.0,0.0,0,0,0.0
20090708_1_11,"We reiterate the commitment made at the London Summit to make the best possible use of our fiscal stimulus programmes, also in light of the deliberations of the G8 Environment Ministerial in Siracusa and the G8 Energy Ministerial in Rome, and will ensure that such packages will contribute substantially towards building new, cleaner economies that will create new jobs and bring about a green and sustainable recovery","└── reiterate 0.0 0.5 fiscal_stance
    ├── energy 0 0.0 other_policies//
    └── ensure 0.0 0.0 //
        └── contribute 0.0 0.0 fiscal_analysis
            └── build 0.0 0.0 other_policies//
                └── create 0.0 0.0 fiscal_analysis
                    └── bring 0 0.0 other_policies//
","{'degree': [('possible', 0.5), ('substantially', 2.0)], 'polarity': [('stimulus', 1), ('sustainable', -1)]}",1.0,0.0,0,0.0,0.0,0,0,1.0
20090708_1_12,We call upon other countries to join us in this endeavour.,"└── call 0 0.0 fiscal_analysis
","{'degree': [], 'polarity': []}",0.0,0.0,0,0.0,0.0,0,0,0.0
20090708_1_1,The emergency response to the economic crisis should not overlook the opportunity to facilitate a global green recovery putting our economies on a path towards more sustainable and resilient growth,"└── overlook 0 0.0 other_policies
","{'degree': [], 'polarity': [('crisis', -1), ('opportunity', 1), ('sustainable', -1)]}",0.0,0.0,0,0.0,0.0,0,0,0.0
20090708_1_7,"In this light, we call for a reduction of subsidies that artificially encourage carbon-intensive energy consumption","└── encourage 0 0.0 fiscal_analysis
","{'degree': [], 'polarity': [('reduction', -1), ('subsidy', 1), ('encourage', 1)]}",0.0,0.0,0,0.0,0.0,0,0,1.0
20090708_1_8,"We emphasise the paramount importance of technology development and diffusion on a global scale in meeting these challenges and accelerating the economic recovery, while moving towards a low-carbon society","└── emphasise 0.0 0.0 other_policies
    ├── diffusion 0 0.0 //
    ├── accelerate 0 0.0 //
    └── move 0 0.0 other_policies//
","{'degree': [], 'polarity': [('challenge', -1), ('accelerate', 1)]}",0.0,0.0,0,0.0,0.0,0,0,0.0
20090708_1_6,"At the same time, we will ensure proper regulatory and other frameworks facilitating transition towards low-carbon and resource efficient growth","└── ensure 0 0.0 other_policies
","{'degree': [], 'polarity': []}",0.0,0.0,0,0.0,0.0,0,0,0.0
20090708_1_9,"It is indispensable to encourage efficient markets, competitive frameworks and consistent public policies, to enhance investments in energy efficiency, clean technologies and renewable energies, which will in turn create opportunities for businesses worldwide","└── indispensable 0.0 0.0 other_policies
    ├── technology 0 0.0 other_policies//
    ├── energy 0 0.0 fiscal_analysis//
    ├── will 0 0.0 
    └── create 0 0.0 fiscal_analysis//
","{'degree': [], 'polarity': [('encourage', 1), ('investment', 1), ('opportunity', 1)]}",0.0,0.0,0,0.0,0.0,0,0,0.0
20090708_1_3,"These include energy efficiency measures, investment in public transportation infrastructure, incentives for fuel-efficient vehicles, research in alternative sources of energy, support for renewable energy technologies, as well as in enhanced CO2 reduction, recycling and disposal such as Carbon Capture and Storage","└── include 0.0 0.0 other_policies
    ├── disposal 0 0.0 //
    └── storage 0 0.0 //
","{'degree': [], 'polarity': [('investment', 1), ('support', 1), ('reduction', -1)]}",0.0,0.0,0,0.0,0.0,0,0,0.0
20090708_1_4,We remain committed to enhance the environmental dimension of budgetary measures and to reinforce efforts to promote clean energy and energy efficiency,"└── remain 0.0 0.0 other_policies
    └── reinforce 0 0.0 //
","{'degree': [], 'polarity': []}",0.0,0.0,0,0.0,0.0,0,0,0.0
20090708_1_5,"Along with the ongoing WTO negotiations on the liberalization of environmental goods and services, we will intensify efforts to make progress on the reduction or elimination of trade barriers on a voluntary basis on goods and services directly linked to addressing climate change, as agreed at the Toyako Summit","├── service 0 0.0 fiscal_analysis,other_policies//
├── elimination 0 0.0 //
├── service 0 0.0 fiscal_analysis,other_policies//
├── address 0 0.0 fiscal_analysis//
└── agree 0 0.0 //
","{'degree': [], 'polarity': [('progress', 1), ('reduction', -1)]}",0.0,0.0,0,0.0,0.0,0,0,1.0
20090708_1_2,"Our fiscal stimulus packages are increasingly investing in measures encouraging the creation of green jobs and low-carbon, energy efficient and sustainable growth","└── invest 0 0.0 fiscal_analysis
","{'degree': [], 'polarity': [('stimulus', 1), ('encourage', 1), ('sustainable', -1)]}",0.0,0.0,0,0.0,0.0,0,0,0.0
